"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1487,"2026-04-20"
"AfD-Fraktion Bautzen",5540,"2026-04-20"
"AfD Görlitz",5617,"2026-04-20"
"AfD-Fraktion im Kreistag Görlitz",5931,"2026-04-20"
"AfD für den Landkreis Görlitz",6076,"2026-04-20"
"AfD SOE",5885,"2026-04-20"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5885,"2026-04-20"
"AfD-Regionalgruppe Sächsische Schweiz",1850,"2026-04-20"
"AfD-Fraktion Dresden",8391,"2026-04-20"
"AfD Dresden",8943,"2026-04-20"
"AfD Meißen",18142,"2026-04-20"
"AfD-Fraktion im Kreistag Meißen",5355,"2026-04-20"
"AfD Stadtratsfraktion Meißen",3867,"2026-04-20"
"AfD-Freundeskreis Meißen",1376,"2026-04-20"
"AfD Mittelsachsen",3681,"2026-04-20"
"AfD Kreisverband Nordsachsen",3182,"2026-04-20"
"AfD-Fraktion Leipzig",9255,"2026-04-20"
"AfD Leipzig",8277,"2026-04-20"
"AfD-Kreisverband Landkreis Leipzig",7792,"2026-04-20"
"AfD Zwickau",14248,"2026-04-20"
"AfD - Stadtratsfraktion Chemnitz",4886,"2026-04-20"
"AfD Kreisverband Chemnitz",19231,"2026-04-20"
"AfD Erzgebirge",9027,"2026-04-20"
"AfD Vogtland",4657,"2026-04-20"
"AfD Kreisverband Eichsfeld",5813,"2026-04-20"
"AfD Erfurt",8789,"2026-04-20"
"AfD Gera",9336,"2026-04-20"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-04-20"
"AfD Gera Jena SHK",8455,"2026-04-20"
"AfD Kreistagsfraktion Ahrweiler",6000,"2026-04-20"
"AfD Kreisverband Ahrweiler",5574,"2026-04-20"
"AfD Alzey-Worms",4660,"2026-04-20"
"AfD Kreistagsfraktion Alzey-Worms",3186,"2026-04-20"
"AfD Kreisverband Bad Dürkheim",6383,"2026-04-20"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-04-20"
"AfD Kreisverband Bad Kreuznach",4096,"2026-04-20"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-04-20"
"AfD Bernkastel-Wittlich",8996,"2026-04-20"
