"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1736,"2026-06-08"
"AfD-Fraktion Bautzen",5524,"2026-06-08"
"AfD Görlitz",5682,"2026-06-08"
"AfD-Fraktion im Kreistag Görlitz",5905,"2026-06-08"
"AfD für den Landkreis Görlitz",6041,"2026-06-08"
"AfD SOE",6020,"2026-06-08"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6020,"2026-06-08"
"AfD-Regionalgruppe Sächsische Schweiz",1897,"2026-06-08"
"AfD-Fraktion Dresden",8472,"2026-06-08"
"AfD Dresden",9011,"2026-06-08"
"AfD Meißen",18360,"2026-06-08"
"AfD-Fraktion im Kreistag Meißen",5405,"2026-06-08"
"AfD Stadtratsfraktion Meißen",3907,"2026-06-08"
"AfD-Freundeskreis Meißen",1373,"2026-06-08"
"AfD Mittelsachsen",3723,"2026-06-08"
"AfD Kreisverband Nordsachsen",3408,"2026-06-08"
"AfD-Fraktion Leipzig",9266,"2026-06-08"
"AfD Leipzig",8368,"2026-06-08"
"AfD-Kreisverband Landkreis Leipzig",7799,"2026-06-08"
"AfD Zwickau",14255,"2026-06-08"
"AfD - Stadtratsfraktion Chemnitz",4959,"2026-06-08"
"AfD Kreisverband Chemnitz",19425,"2026-06-08"
"AfD Erzgebirge",9207,"2026-06-08"
"AfD Vogtland",4792,"2026-06-08"
"AfD Kreisverband Eichsfeld",5932,"2026-06-08"
"AfD Erfurt",8990,"2026-06-08"
"AfD Gera",9390,"2026-06-08"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-06-08"
"AfD Gera Jena SHK",8427,"2026-06-08"
"AfD Kreistagsfraktion Ahrweiler",5977,"2026-06-08"
"AfD Kreisverband Ahrweiler",5889,"2026-06-08"
"AfD Alzey-Worms",4718,"2026-06-08"
"AfD Kreistagsfraktion Alzey-Worms",3178,"2026-06-08"
"AfD Kreisverband Bad Dürkheim",NA,"2026-06-08"
"AfD-Fraktion im Kreistag Bad Dürkheim",6647,"2026-06-08"
"AfD Kreisverband Bad Kreuznach",4320,"2026-06-08"
"AfD-Fraktion Stadtrat Bad Kreuznach",5792,"2026-06-08"
"AfD Bernkastel-Wittlich",8975,"2026-06-08"
