"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1745,"2026-07-06"
"AfD-Fraktion Bautzen",5511,"2026-07-06"
"AfD Görlitz",5673,"2026-07-06"
"AfD-Fraktion im Kreistag Görlitz",5890,"2026-07-06"
"AfD für den Landkreis Görlitz",6026,"2026-07-06"
"AfD SOE",6006,"2026-07-06"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6006,"2026-07-06"
"AfD-Regionalgruppe Sächsische Schweiz",1991,"2026-07-06"
"AfD-Fraktion Dresden",8524,"2026-07-06"
"AfD Dresden",8997,"2026-07-06"
"AfD Meißen",18332,"2026-07-06"
"AfD-Fraktion im Kreistag Meißen",5387,"2026-07-06"
"AfD Stadtratsfraktion Meißen",3915,"2026-07-06"
"AfD-Freundeskreis Meißen",1372,"2026-07-06"
"AfD Mittelsachsen",3747,"2026-07-06"
"AfD Kreisverband Nordsachsen",3403,"2026-07-06"
"AfD-Fraktion Leipzig",9315,"2026-07-06"
"AfD Leipzig",8357,"2026-07-06"
"AfD-Kreisverband Landkreis Leipzig",7865,"2026-07-06"
"AfD Zwickau",14277,"2026-07-06"
"AfD - Stadtratsfraktion Chemnitz",5082,"2026-07-06"
"AfD Kreisverband Chemnitz",19410,"2026-07-06"
"AfD Erzgebirge",9218,"2026-07-06"
"AfD Vogtland",4809,"2026-07-06"
"AfD Kreisverband Eichsfeld",5913,"2026-07-06"
"AfD Erfurt",9547,"2026-07-06"
"AfD Gera",9463,"2026-07-06"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-07-06"
"AfD Gera Jena SHK",8408,"2026-07-06"
"AfD Kreistagsfraktion Ahrweiler",5966,"2026-07-06"
"AfD Kreisverband Ahrweiler",5879,"2026-07-06"
"AfD Alzey-Worms",4759,"2026-07-06"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-07-06"
"AfD Kreisverband Bad Dürkheim",NA,"2026-07-06"
"AfD-Fraktion im Kreistag Bad Dürkheim",6637,"2026-07-06"
"AfD Kreisverband Bad Kreuznach",4320,"2026-07-06"
"AfD-Fraktion Stadtrat Bad Kreuznach",5776,"2026-07-06"
"AfD Bernkastel-Wittlich",9239,"2026-07-06"
