"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1358,"2026-02-23"
"AfD-Fraktion Bautzen",5552,"2026-02-23"
"AfD Görlitz",5623,"2026-02-23"
"AfD-Fraktion im Kreistag Görlitz",5923,"2026-02-23"
"AfD für den Landkreis Görlitz",6114,"2026-02-23"
"AfD SOE",NA,"2026-02-23"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5764,"2026-02-23"
"AfD-Regionalgruppe Sächsische Schweiz",1713,"2026-02-23"
"AfD-Fraktion Dresden",8259,"2026-02-23"
"AfD Dresden",8920,"2026-02-23"
"AfD Meißen",17938,"2026-02-23"
"AfD-Fraktion im Kreistag Meißen",5369,"2026-02-23"
"AfD Stadtratsfraktion Meißen",3686,"2026-02-23"
"AfD-Freundeskreis Meißen",1377,"2026-02-23"
"AfD Mittelsachsen",3694,"2026-02-23"
"AfD Kreisverband Nordsachsen",2983,"2026-02-23"
"AfD-Fraktion Leipzig",9168,"2026-02-23"
"AfD Leipzig",8296,"2026-02-23"
"AfD-Kreisverband Landkreis Leipzig",7791,"2026-02-23"
"AfD Zwickau",14161,"2026-02-23"
"AfD - Stadtratsfraktion Chemnitz",4859,"2026-02-23"
"AfD Kreisverband Chemnitz",19238,"2026-02-23"
"AfD Erzgebirge",8779,"2026-02-23"
"AfD Vogtland",4539,"2026-02-23"
"AfD Kreisverband Eichsfeld",5601,"2026-02-23"
"AfD Erfurt",8465,"2026-02-23"
"AfD Gera",9094,"2026-02-23"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-02-23"
"AfD Gera Jena SHK",8525,"2026-02-23"
"AfD Kreistagsfraktion Ahrweiler",6036,"2026-02-23"
"AfD Kreisverband Ahrweiler",5372,"2026-02-23"
"AfD Alzey-Worms",4435,"2026-02-23"
"AfD Kreistagsfraktion Alzey-Worms",3180,"2026-02-23"
"AfD Kreisverband Bad Dürkheim",NA,"2026-02-23"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-02-23"
"AfD Kreisverband Bad Kreuznach",3643,"2026-02-23"
"AfD-Fraktion Stadtrat Bad Kreuznach",5857,"2026-02-23"
"AfD Bernkastel-Wittlich",9000,"2026-02-23"
