"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1360,"2026-02-09"
"AfD-Fraktion Bautzen",5559,"2026-02-09"
"AfD Görlitz",5631,"2026-02-09"
"AfD-Fraktion im Kreistag Görlitz",5934,"2026-02-09"
"AfD für den Landkreis Görlitz",6125,"2026-02-09"
"AfD SOE",5774,"2026-02-09"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5774,"2026-02-09"
"AfD-Regionalgruppe Sächsische Schweiz",1717,"2026-02-09"
"AfD-Fraktion Dresden",8254,"2026-02-09"
"AfD Dresden",8934,"2026-02-09"
"AfD Meißen",17959,"2026-02-09"
"AfD-Fraktion im Kreistag Meißen",5380,"2026-02-09"
"AfD Stadtratsfraktion Meißen",3643,"2026-02-09"
"AfD-Freundeskreis Meißen",1382,"2026-02-09"
"AfD Mittelsachsen",3672,"2026-02-09"
"AfD Kreisverband Nordsachsen",2977,"2026-02-09"
"AfD-Fraktion Leipzig",9147,"2026-02-09"
"AfD Leipzig",8304,"2026-02-09"
"AfD-Kreisverband Landkreis Leipzig",7795,"2026-02-09"
"AfD Zwickau",14150,"2026-02-09"
"AfD - Stadtratsfraktion Chemnitz",4863,"2026-02-09"
"AfD Kreisverband Chemnitz",19269,"2026-02-09"
"AfD Erzgebirge",8789,"2026-02-09"
"AfD Vogtland",4543,"2026-02-09"
"AfD Kreisverband Eichsfeld",5529,"2026-02-09"
"AfD Erfurt",8440,"2026-02-09"
"AfD Gera",9040,"2026-02-09"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-02-09"
"AfD Gera Jena SHK",8547,"2026-02-09"
"AfD Kreistagsfraktion Ahrweiler",6046,"2026-02-09"
"AfD Kreisverband Ahrweiler",5366,"2026-02-09"
"AfD Alzey-Worms",NA,"2026-02-09"
"AfD Kreistagsfraktion Alzey-Worms",3182,"2026-02-09"
"AfD Kreisverband Bad Dürkheim",6343,"2026-02-09"
"AfD-Fraktion im Kreistag Bad Dürkheim",6741,"2026-02-09"
"AfD Kreisverband Bad Kreuznach",3631,"2026-02-09"
"AfD-Fraktion Stadtrat Bad Kreuznach",5865,"2026-02-09"
"AfD Bernkastel-Wittlich",8954,"2026-02-09"
