"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1772,"2026-08-17"
"AfD-Fraktion Bautzen",5495,"2026-08-17"
"AfD Görlitz",5670,"2026-08-17"
"AfD-Fraktion im Kreistag Görlitz",5878,"2026-08-17"
"AfD für den Landkreis Görlitz",6010,"2026-08-17"
"AfD SOE",5992,"2026-08-17"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5992,"2026-08-17"
"AfD-Regionalgruppe Sächsische Schweiz",2039,"2026-08-17"
"AfD-Fraktion Dresden",8536,"2026-08-17"
"AfD Dresden",9025,"2026-08-17"
"AfD Meißen",18298,"2026-08-17"
"AfD-Fraktion im Kreistag Meißen",5371,"2026-08-17"
"AfD Stadtratsfraktion Meißen",3911,"2026-08-17"
"AfD-Freundeskreis Meißen",1369,"2026-08-17"
"AfD Mittelsachsen",3741,"2026-08-17"
"AfD Kreisverband Nordsachsen",3402,"2026-08-17"
"AfD-Fraktion Leipzig",9375,"2026-08-17"
"AfD Leipzig",8341,"2026-08-17"
"AfD-Kreisverband Landkreis Leipzig",7840,"2026-08-17"
"AfD Zwickau",14269,"2026-08-17"
"AfD - Stadtratsfraktion Chemnitz",5126,"2026-08-17"
"AfD Kreisverband Chemnitz",19410,"2026-08-17"
"AfD Erzgebirge",9220,"2026-08-17"
"AfD Vogtland",4810,"2026-08-17"
"AfD Kreisverband Eichsfeld",5925,"2026-08-17"
"AfD Erfurt",10033,"2026-08-17"
"AfD Gera",9542,"2026-08-17"
"AfD-Fraktion im Geraer Stadtrat",466,"2026-08-17"
"AfD Gera Jena SHK",8379,"2026-08-17"
"AfD Kreistagsfraktion Ahrweiler",5955,"2026-08-17"
"AfD Kreisverband Ahrweiler",5885,"2026-08-17"
"AfD Alzey-Worms",4855,"2026-08-17"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-08-17"
"AfD Kreisverband Bad Dürkheim",6371,"2026-08-17"
"AfD-Fraktion im Kreistag Bad Dürkheim",6616,"2026-08-17"
"AfD Kreisverband Bad Kreuznach",4527,"2026-08-17"
"AfD-Fraktion Stadtrat Bad Kreuznach",5754,"2026-08-17"
"AfD Bernkastel-Wittlich",10009,"2026-08-17"
