"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",NA,"2026-04-27"
"AfD-Fraktion Bautzen",NA,"2026-04-27"
"AfD Görlitz",NA,"2026-04-27"
"AfD-Fraktion im Kreistag Görlitz",NA,"2026-04-27"
"AfD für den Landkreis Görlitz",NA,"2026-04-27"
"AfD SOE",NA,"2026-04-27"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",NA,"2026-04-27"
"AfD-Regionalgruppe Sächsische Schweiz",NA,"2026-04-27"
"AfD-Fraktion Dresden",NA,"2026-04-27"
"AfD Dresden",NA,"2026-04-27"
"AfD Meißen",NA,"2026-04-27"
"AfD-Fraktion im Kreistag Meißen",NA,"2026-04-27"
"AfD Stadtratsfraktion Meißen",NA,"2026-04-27"
"AfD-Freundeskreis Meißen",NA,"2026-04-27"
"AfD Mittelsachsen",NA,"2026-04-27"
"AfD Kreisverband Nordsachsen",NA,"2026-04-27"
"AfD-Fraktion Leipzig",NA,"2026-04-27"
"AfD Leipzig",NA,"2026-04-27"
"AfD-Kreisverband Landkreis Leipzig",NA,"2026-04-27"
"AfD Zwickau",NA,"2026-04-27"
"AfD - Stadtratsfraktion Chemnitz",NA,"2026-04-27"
"AfD Kreisverband Chemnitz",NA,"2026-04-27"
"AfD Erzgebirge",NA,"2026-04-27"
"AfD Vogtland",NA,"2026-04-27"
"AfD Kreisverband Eichsfeld",NA,"2026-04-27"
"AfD Erfurt",NA,"2026-04-27"
"AfD Gera",NA,"2026-04-27"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-04-27"
"AfD Gera Jena SHK",NA,"2026-04-27"
"AfD Kreistagsfraktion Ahrweiler",NA,"2026-04-27"
"AfD Kreisverband Ahrweiler",NA,"2026-04-27"
"AfD Alzey-Worms",NA,"2026-04-27"
"AfD Kreistagsfraktion Alzey-Worms",NA,"2026-04-27"
"AfD Kreisverband Bad Dürkheim",NA,"2026-04-27"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-04-27"
"AfD Kreisverband Bad Kreuznach",NA,"2026-04-27"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-04-27"
"AfD Bernkastel-Wittlich",NA,"2026-04-27"
