"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1355,"2026-03-02"
"AfD-Fraktion Bautzen",5547,"2026-03-02"
"AfD Görlitz",5619,"2026-03-02"
"AfD-Fraktion im Kreistag Görlitz",5921,"2026-03-02"
"AfD für den Landkreis Görlitz",6108,"2026-03-02"
"AfD SOE",5762,"2026-03-02"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5762,"2026-03-02"
"AfD-Regionalgruppe Sächsische Schweiz",1713,"2026-03-02"
"AfD-Fraktion Dresden",8259,"2026-03-02"
"AfD Dresden",8916,"2026-03-02"
"AfD Meißen",17931,"2026-03-02"
"AfD-Fraktion im Kreistag Meißen",5366,"2026-03-02"
"AfD Stadtratsfraktion Meißen",3705,"2026-03-02"
"AfD-Freundeskreis Meißen",1376,"2026-03-02"
"AfD Mittelsachsen",3690,"2026-03-02"
"AfD Kreisverband Nordsachsen",2987,"2026-03-02"
"AfD-Fraktion Leipzig",9196,"2026-03-02"
"AfD Leipzig",8293,"2026-03-02"
"AfD-Kreisverband Landkreis Leipzig",7787,"2026-03-02"
"AfD Zwickau",NA,"2026-03-02"
"AfD - Stadtratsfraktion Chemnitz",4858,"2026-03-02"
"AfD Kreisverband Chemnitz",19227,"2026-03-02"
"AfD Erzgebirge",8774,"2026-03-02"
"AfD Vogtland",4537,"2026-03-02"
"AfD Kreisverband Eichsfeld",5610,"2026-03-02"
"AfD Erfurt",NA,"2026-03-02"
"AfD Gera",9127,"2026-03-02"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-03-02"
"AfD Gera Jena SHK",8517,"2026-03-02"
"AfD Kreistagsfraktion Ahrweiler",6032,"2026-03-02"
"AfD Kreisverband Ahrweiler",5377,"2026-03-02"
"AfD Alzey-Worms",4465,"2026-03-02"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-03-02"
"AfD Kreisverband Bad Dürkheim",6333,"2026-03-02"
"AfD-Fraktion im Kreistag Bad Dürkheim",6725,"2026-03-02"
"AfD Kreisverband Bad Kreuznach",3695,"2026-03-02"
"AfD-Fraktion Stadtrat Bad Kreuznach",5850,"2026-03-02"
"AfD Bernkastel-Wittlich",9019,"2026-03-02"
