"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1744,"2026-07-20"
"AfD-Fraktion Bautzen",5504,"2026-07-20"
"AfD Görlitz",5667,"2026-07-20"
"AfD-Fraktion im Kreistag Görlitz",5884,"2026-07-20"
"AfD für den Landkreis Görlitz",6022,"2026-07-20"
"AfD SOE",5999,"2026-07-20"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5999,"2026-07-20"
"AfD-Regionalgruppe Sächsische Schweiz",2001,"2026-07-20"
"AfD-Fraktion Dresden",8521,"2026-07-20"
"AfD Dresden",8992,"2026-07-20"
"AfD Meißen",18328,"2026-07-20"
"AfD-Fraktion im Kreistag Meißen",5382,"2026-07-20"
"AfD Stadtratsfraktion Meißen",3921,"2026-07-20"
"AfD-Freundeskreis Meißen",1372,"2026-07-20"
"AfD Mittelsachsen",3748,"2026-07-20"
"AfD Kreisverband Nordsachsen",3406,"2026-07-20"
"AfD-Fraktion Leipzig",9356,"2026-07-20"
"AfD Leipzig",8348,"2026-07-20"
"AfD-Kreisverband Landkreis Leipzig",7859,"2026-07-20"
"AfD Zwickau",14287,"2026-07-20"
"AfD - Stadtratsfraktion Chemnitz",5101,"2026-07-20"
"AfD Kreisverband Chemnitz",19460,"2026-07-20"
"AfD Erzgebirge",9217,"2026-07-20"
"AfD Vogtland",4805,"2026-07-20"
"AfD Kreisverband Eichsfeld",5928,"2026-07-20"
"AfD Erfurt",9616,"2026-07-20"
"AfD Gera",9506,"2026-07-20"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-07-20"
"AfD Gera Jena SHK",8403,"2026-07-20"
"AfD Kreistagsfraktion Ahrweiler",5962,"2026-07-20"
"AfD Kreisverband Ahrweiler",5876,"2026-07-20"
"AfD Alzey-Worms",4833,"2026-07-20"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-07-20"
"AfD Kreisverband Bad Dürkheim",6383,"2026-07-20"
"AfD-Fraktion im Kreistag Bad Dürkheim",6631,"2026-07-20"
"AfD Kreisverband Bad Kreuznach",4344,"2026-07-20"
"AfD-Fraktion Stadtrat Bad Kreuznach",5770,"2026-07-20"
"AfD Bernkastel-Wittlich",9475,"2026-07-20"
