"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1744,"2026-07-13"
"AfD-Fraktion Bautzen",5506,"2026-07-13"
"AfD Görlitz",5669,"2026-07-13"
"AfD-Fraktion im Kreistag Görlitz",5886,"2026-07-13"
"AfD für den Landkreis Görlitz",6025,"2026-07-13"
"AfD SOE",6002,"2026-07-13"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6002,"2026-07-13"
"AfD-Regionalgruppe Sächsische Schweiz",2000,"2026-07-13"
"AfD-Fraktion Dresden",8521,"2026-07-13"
"AfD Dresden",8995,"2026-07-13"
"AfD Meißen",18333,"2026-07-13"
"AfD-Fraktion im Kreistag Meißen",5385,"2026-07-13"
"AfD Stadtratsfraktion Meißen",3919,"2026-07-13"
"AfD-Freundeskreis Meißen",1372,"2026-07-13"
"AfD Mittelsachsen",3748,"2026-07-13"
"AfD Kreisverband Nordsachsen",3405,"2026-07-13"
"AfD-Fraktion Leipzig",9338,"2026-07-13"
"AfD Leipzig",8355,"2026-07-13"
"AfD-Kreisverband Landkreis Leipzig",7862,"2026-07-13"
"AfD Zwickau",14284,"2026-07-13"
"AfD - Stadtratsfraktion Chemnitz",5102,"2026-07-13"
"AfD Kreisverband Chemnitz",19472,"2026-07-13"
"AfD Erzgebirge",NA,"2026-07-13"
"AfD Vogtland",4808,"2026-07-13"
"AfD Kreisverband Eichsfeld",5922,"2026-07-13"
"AfD Erfurt",9570,"2026-07-13"
"AfD Gera",9488,"2026-07-13"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-07-13"
"AfD Gera Jena SHK",8403,"2026-07-13"
"AfD Kreistagsfraktion Ahrweiler",5962,"2026-07-13"
"AfD Kreisverband Ahrweiler",NA,"2026-07-13"
"AfD Alzey-Worms",4808,"2026-07-13"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-07-13"
"AfD Kreisverband Bad Dürkheim",6384,"2026-07-13"
"AfD-Fraktion im Kreistag Bad Dürkheim",6635,"2026-07-13"
"AfD Kreisverband Bad Kreuznach",4320,"2026-07-13"
"AfD-Fraktion Stadtrat Bad Kreuznach",5768,"2026-07-13"
"AfD Bernkastel-Wittlich",9340,"2026-07-13"
