"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1358,"2026-02-01"
"AfD-Fraktion Bautzen",5561,"2026-02-01"
"AfD Görlitz",5634,"2026-02-01"
"AfD-Fraktion im Kreistag Görlitz",5939,"2026-02-01"
"AfD für den Landkreis Görlitz",6130,"2026-02-01"
"AfD SOE",5780,"2026-02-01"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5780,"2026-02-01"
"AfD-Regionalgruppe Sächsische Schweiz",1714,"2026-02-01"
"AfD-Fraktion Dresden",8247,"2026-02-01"
"AfD Dresden",8940,"2026-02-01"
"AfD Meißen",17966,"2026-02-01"
"AfD-Fraktion im Kreistag Meißen",5385,"2026-02-01"
"AfD Stadtratsfraktion Meißen",3645,"2026-02-01"
"AfD-Freundeskreis Meißen",1385,"2026-02-01"
"AfD Mittelsachsen",3677,"2026-02-01"
"AfD Kreisverband Nordsachsen",2976,"2026-02-01"
"AfD-Fraktion Leipzig",9116,"2026-02-01"
"AfD Leipzig",8302,"2026-02-01"
"AfD-Kreisverband Landkreis Leipzig",7795,"2026-02-01"
"AfD Zwickau",14158,"2026-02-01"
"AfD - Stadtratsfraktion Chemnitz",4857,"2026-02-01"
"Alternative für Deutschland / AfD - Kreisverband Chemnitz",19251,"2026-02-01"
"AfD Erzgebirge",8780,"2026-02-01"
"AfD Vogtland",4517,"2026-02-01"
"AfD Kreisverband Eichsfeld",5490,"2026-02-01"
"AfD Erfurt",8382,"2026-02-01"
"AfD Gera",8877,"2026-02-01"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-02-01"
"AfD Gera Jena SHK",8562,"2026-02-01"
