"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1741,"2026-08-03"
"AfD-Fraktion Bautzen",5497,"2026-08-03"
"AfD Görlitz",5662,"2026-08-03"
"AfD-Fraktion im Kreistag Görlitz",5880,"2026-08-03"
"AfD für den Landkreis Görlitz",6017,"2026-08-03"
"AfD SOE",5994,"2026-08-03"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5994,"2026-08-03"
"AfD-Regionalgruppe Sächsische Schweiz",2015,"2026-08-03"
"AfD-Fraktion Dresden",8537,"2026-08-03"
"AfD Dresden",9031,"2026-08-03"
"AfD Meißen",18312,"2026-08-03"
"AfD-Fraktion im Kreistag Meißen",5376,"2026-08-03"
"AfD Stadtratsfraktion Meißen",3918,"2026-08-03"
"AfD-Freundeskreis Meißen",1370,"2026-08-03"
"AfD Mittelsachsen",3746,"2026-08-03"
"AfD Kreisverband Nordsachsen",3401,"2026-08-03"
"AfD-Fraktion Leipzig",9381,"2026-08-03"
"AfD Leipzig",8344,"2026-08-03"
"AfD-Kreisverband Landkreis Leipzig",NA,"2026-08-03"
"AfD Zwickau",14274,"2026-08-03"
"AfD - Stadtratsfraktion Chemnitz",5113,"2026-08-03"
"AfD Kreisverband Chemnitz",19439,"2026-08-03"
"AfD Erzgebirge",9224,"2026-08-03"
"AfD Vogtland",4805,"2026-08-03"
"AfD Kreisverband Eichsfeld",5920,"2026-08-03"
"AfD Erfurt",9913,"2026-08-03"
"AfD Gera",9547,"2026-08-03"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-08-03"
"AfD Gera Jena SHK",8390,"2026-08-03"
"AfD Kreistagsfraktion Ahrweiler",5957,"2026-08-03"
"AfD Kreisverband Ahrweiler",5878,"2026-08-03"
"AfD Alzey-Worms",4833,"2026-08-03"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-08-03"
"AfD Kreisverband Bad Dürkheim",6377,"2026-08-03"
"AfD-Fraktion im Kreistag Bad Dürkheim",6624,"2026-08-03"
"AfD Kreisverband Bad Kreuznach",4507,"2026-08-03"
"AfD-Fraktion Stadtrat Bad Kreuznach",5756,"2026-08-03"
"AfD Bernkastel-Wittlich",9535,"2026-08-03"
