"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1634,"2026-06-01"
"AfD-Fraktion Bautzen",5528,"2026-06-01"
"AfD Görlitz",5677,"2026-06-01"
"AfD-Fraktion im Kreistag Görlitz",5908,"2026-06-01"
"AfD für den Landkreis Görlitz",6044,"2026-06-01"
"AfD SOE",6010,"2026-06-01"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6010,"2026-06-01"
"AfD-Regionalgruppe Sächsische Schweiz",1887,"2026-06-01"
"AfD-Fraktion Dresden",8458,"2026-06-01"
"AfD Dresden",9013,"2026-06-01"
"AfD Meißen",18284,"2026-06-01"
"AfD-Fraktion im Kreistag Meißen",5408,"2026-06-01"
"AfD Stadtratsfraktion Meißen",3901,"2026-06-01"
"AfD-Freundeskreis Meißen",1374,"2026-06-01"
"AfD Mittelsachsen",3681,"2026-06-01"
"AfD Kreisverband Nordsachsen",3381,"2026-06-01"
"AfD-Fraktion Leipzig",9272,"2026-06-01"
"AfD Leipzig",8363,"2026-06-01"
"AfD-Kreisverband Landkreis Leipzig",7790,"2026-06-01"
"AfD Zwickau",14248,"2026-06-01"
"AfD - Stadtratsfraktion Chemnitz",4927,"2026-06-01"
"AfD Kreisverband Chemnitz",19385,"2026-06-01"
"AfD Erzgebirge",9203,"2026-06-01"
"AfD Vogtland",4777,"2026-06-01"
"AfD Kreisverband Eichsfeld",5921,"2026-06-01"
"AfD Erfurt",8858,"2026-06-01"
"AfD Gera",9372,"2026-06-01"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-06-01"
"AfD Gera Jena SHK",8424,"2026-06-01"
"AfD Kreistagsfraktion Ahrweiler",5980,"2026-06-01"
"AfD Kreisverband Ahrweiler",5853,"2026-06-01"
"AfD Alzey-Worms",4701,"2026-06-01"
"AfD Kreistagsfraktion Alzey-Worms",3179,"2026-06-01"
"AfD Kreisverband Bad Dürkheim",6399,"2026-06-01"
"AfD-Fraktion im Kreistag Bad Dürkheim",6650,"2026-06-01"
"AfD Kreisverband Bad Kreuznach",4300,"2026-06-01"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-06-01"
"AfD Bernkastel-Wittlich",8971,"2026-06-01"
