"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1744,"2026-08-10"
"AfD-Fraktion Bautzen",5497,"2026-08-10"
"AfD Görlitz",5667,"2026-08-10"
"AfD-Fraktion im Kreistag Görlitz",5878,"2026-08-10"
"AfD für den Landkreis Görlitz",6012,"2026-08-10"
"AfD SOE",5993,"2026-08-10"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5993,"2026-08-10"
"AfD-Regionalgruppe Sächsische Schweiz",2032,"2026-08-10"
"AfD-Fraktion Dresden",8536,"2026-08-10"
"AfD Dresden",9031,"2026-08-10"
"AfD Meißen",18305,"2026-08-10"
"AfD-Fraktion im Kreistag Meißen",5374,"2026-08-10"
"AfD Stadtratsfraktion Meißen",3912,"2026-08-10"
"AfD-Freundeskreis Meißen",1370,"2026-08-10"
"AfD Mittelsachsen",3747,"2026-08-10"
"AfD Kreisverband Nordsachsen",3399,"2026-08-10"
"AfD-Fraktion Leipzig",9380,"2026-08-10"
"AfD Leipzig",8343,"2026-08-10"
"AfD-Kreisverband Landkreis Leipzig",7845,"2026-08-10"
"AfD Zwickau",14270,"2026-08-10"
"AfD - Stadtratsfraktion Chemnitz",5129,"2026-08-10"
"AfD Kreisverband Chemnitz",19423,"2026-08-10"
"AfD Erzgebirge",9225,"2026-08-10"
"AfD Vogtland",4810,"2026-08-10"
"AfD Kreisverband Eichsfeld",5920,"2026-08-10"
"AfD Erfurt",9988,"2026-08-10"
"AfD Gera",9534,"2026-08-10"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-08-10"
"AfD Gera Jena SHK",8386,"2026-08-10"
"AfD Kreistagsfraktion Ahrweiler",5956,"2026-08-10"
"AfD Kreisverband Ahrweiler",5886,"2026-08-10"
"AfD Alzey-Worms",4834,"2026-08-10"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-08-10"
"AfD Kreisverband Bad Dürkheim",6371,"2026-08-10"
"AfD-Fraktion im Kreistag Bad Dürkheim",6619,"2026-08-10"
"AfD Kreisverband Bad Kreuznach",4515,"2026-08-10"
"AfD-Fraktion Stadtrat Bad Kreuznach",5755,"2026-08-10"
"AfD Bernkastel-Wittlich",9837,"2026-08-10"
