"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1474,"2026-04-13"
"AfD-Fraktion Bautzen",5540,"2026-04-13"
"AfD Görlitz",5613,"2026-04-13"
"AfD-Fraktion im Kreistag Görlitz",5929,"2026-04-13"
"AfD für den Landkreis Görlitz",6081,"2026-04-13"
"AfD SOE",5815,"2026-04-13"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5815,"2026-04-13"
"AfD-Regionalgruppe Sächsische Schweiz",1838,"2026-04-13"
"AfD-Fraktion Dresden",8385,"2026-04-13"
"AfD Dresden",8943,"2026-04-13"
"AfD Meißen",18066,"2026-04-13"
"AfD-Fraktion im Kreistag Meißen",5356,"2026-04-13"
"AfD Stadtratsfraktion Meißen",3865,"2026-04-13"
"AfD-Freundeskreis Meißen",1377,"2026-04-13"
"AfD Mittelsachsen",3680,"2026-04-13"
"AfD Kreisverband Nordsachsen",3152,"2026-04-13"
"AfD-Fraktion Leipzig",9258,"2026-04-13"
"AfD Leipzig",8277,"2026-04-13"
"AfD-Kreisverband Landkreis Leipzig",7775,"2026-04-13"
"AfD Zwickau",14225,"2026-04-13"
"AfD - Stadtratsfraktion Chemnitz",4876,"2026-04-13"
"AfD Kreisverband Chemnitz",19237,"2026-04-13"
"AfD Erzgebirge",8817,"2026-04-13"
"AfD Vogtland",4649,"2026-04-13"
"AfD Kreisverband Eichsfeld",5799,"2026-04-13"
"AfD Erfurt",8788,"2026-04-13"
"AfD Gera",9324,"2026-04-13"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-04-13"
"AfD Gera Jena SHK",8465,"2026-04-13"
"AfD Kreistagsfraktion Ahrweiler",6004,"2026-04-13"
"AfD Kreisverband Ahrweiler",5509,"2026-04-13"
"AfD Alzey-Worms",4660,"2026-04-13"
"AfD Kreistagsfraktion Alzey-Worms",3187,"2026-04-13"
"AfD Kreisverband Bad Dürkheim",6370,"2026-04-13"
"AfD-Fraktion im Kreistag Bad Dürkheim",6689,"2026-04-13"
"AfD Kreisverband Bad Kreuznach",4012,"2026-04-13"
"AfD-Fraktion Stadtrat Bad Kreuznach",5832,"2026-04-13"
"AfD Bernkastel-Wittlich",8994,"2026-04-13"
