"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1746,"2026-06-29"
"AfD-Fraktion Bautzen",5515,"2026-06-29"
"AfD Görlitz",5678,"2026-06-29"
"AfD-Fraktion im Kreistag Görlitz",5897,"2026-06-29"
"AfD für den Landkreis Görlitz",6032,"2026-06-29"
"AfD SOE",6014,"2026-06-29"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6014,"2026-06-29"
"AfD-Regionalgruppe Sächsische Schweiz",1953,"2026-06-29"
"AfD-Fraktion Dresden",8526,"2026-06-29"
"AfD Dresden",8999,"2026-06-29"
"AfD Meißen",18339,"2026-06-29"
"AfD-Fraktion im Kreistag Meißen",5393,"2026-06-29"
"AfD Stadtratsfraktion Meißen",3909,"2026-06-29"
"AfD-Freundeskreis Meißen",1371,"2026-06-29"
"AfD Mittelsachsen",3748,"2026-06-29"
"AfD Kreisverband Nordsachsen",3406,"2026-06-29"
"AfD-Fraktion Leipzig",9281,"2026-06-29"
"AfD Leipzig",8359,"2026-06-29"
"AfD-Kreisverband Landkreis Leipzig",7856,"2026-06-29"
"AfD Zwickau",14265,"2026-06-29"
"AfD - Stadtratsfraktion Chemnitz",5049,"2026-06-29"
"AfD Kreisverband Chemnitz",19425,"2026-06-29"
"AfD Erzgebirge",9226,"2026-06-29"
"AfD Vogtland",4813,"2026-06-29"
"AfD Kreisverband Eichsfeld",5916,"2026-06-29"
"AfD Erfurt",9173,"2026-06-29"
"AfD Gera",9450,"2026-06-29"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-06-29"
"AfD Gera Jena SHK",8412,"2026-06-29"
"AfD Kreistagsfraktion Ahrweiler",5968,"2026-06-29"
"AfD Kreisverband Ahrweiler",5881,"2026-06-29"
"AfD Alzey-Worms",4724,"2026-06-29"
"AfD Kreistagsfraktion Alzey-Worms",3177,"2026-06-29"
"AfD Kreisverband Bad Dürkheim",6388,"2026-06-29"
"AfD-Fraktion im Kreistag Bad Dürkheim",6642,"2026-06-29"
"AfD Kreisverband Bad Kreuznach",4320,"2026-06-29"
"AfD-Fraktion Stadtrat Bad Kreuznach",5780,"2026-06-29"
"AfD Bernkastel-Wittlich",9203,"2026-06-29"
