"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1471,"2026-04-06"
"AfD-Fraktion Bautzen",5548,"2026-04-06"
"AfD Görlitz",5614,"2026-04-06"
"AfD-Fraktion im Kreistag Görlitz",5931,"2026-04-06"
"AfD für den Landkreis Görlitz",6085,"2026-04-06"
"AfD SOE",5769,"2026-04-06"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5769,"2026-04-06"
"AfD-Regionalgruppe Sächsische Schweiz",1827,"2026-04-06"
"AfD-Fraktion Dresden",8373,"2026-04-06"
"AfD Dresden",8938,"2026-04-06"
"AfD Meißen",17963,"2026-04-06"
"AfD-Fraktion im Kreistag Meißen",5350,"2026-04-06"
"AfD Stadtratsfraktion Meißen",3870,"2026-04-06"
"AfD-Freundeskreis Meißen",1377,"2026-04-06"
"AfD Mittelsachsen",3686,"2026-04-06"
"AfD Kreisverband Nordsachsen",3105,"2026-04-06"
"AfD-Fraktion Leipzig",9261,"2026-04-06"
"AfD Leipzig",8273,"2026-04-06"
"AfD-Kreisverband Landkreis Leipzig",7779,"2026-04-06"
"AfD Zwickau",14227,"2026-04-06"
"AfD - Stadtratsfraktion Chemnitz",4875,"2026-04-06"
"AfD Kreisverband Chemnitz",19228,"2026-04-06"
"AfD Erzgebirge",8798,"2026-04-06"
"AfD Vogtland",4618,"2026-04-06"
"AfD Kreisverband Eichsfeld",5737,"2026-04-06"
"AfD Erfurt",8774,"2026-04-06"
"AfD Gera",9319,"2026-04-06"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-04-06"
"AfD Gera Jena SHK",8474,"2026-04-06"
"AfD Kreistagsfraktion Ahrweiler",6010,"2026-04-06"
"AfD Kreisverband Ahrweiler",5455,"2026-04-06"
"AfD Alzey-Worms",4655,"2026-04-06"
"AfD Kreistagsfraktion Alzey-Worms",3190,"2026-04-06"
"AfD Kreisverband Bad Dürkheim",6357,"2026-04-06"
"AfD-Fraktion im Kreistag Bad Dürkheim",6699,"2026-04-06"
"AfD Kreisverband Bad Kreuznach",3902,"2026-04-06"
"AfD-Fraktion Stadtrat Bad Kreuznach",5843,"2026-04-06"
"AfD Bernkastel-Wittlich",9002,"2026-04-06"
