"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1503,"2026-05-02"
"AfD-Fraktion Bautzen",5543,"2026-05-02"
"AfD Görlitz",5623,"2026-05-02"
"AfD-Fraktion im Kreistag Görlitz",5922,"2026-05-02"
"AfD für den Landkreis Görlitz",6062,"2026-05-02"
"AfD SOE",5911,"2026-05-02"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5911,"2026-05-02"
"AfD-Regionalgruppe Sächsische Schweiz",1875,"2026-05-02"
"AfD-Fraktion Dresden",8412,"2026-05-02"
"AfD Dresden",8963,"2026-05-02"
"AfD Meißen",18209,"2026-05-02"
"AfD-Fraktion im Kreistag Meißen",5360,"2026-05-02"
"AfD Stadtratsfraktion Meißen",NA,"2026-05-02"
"AfD-Freundeskreis Meißen",1376,"2026-05-02"
"AfD Mittelsachsen",3683,"2026-05-02"
"AfD Kreisverband Nordsachsen",3254,"2026-05-02"
"AfD-Fraktion Leipzig",9257,"2026-05-02"
"AfD Leipzig",8273,"2026-05-02"
"AfD-Kreisverband Landkreis Leipzig",7790,"2026-05-02"
"AfD Zwickau",14251,"2026-05-02"
"AfD - Stadtratsfraktion Chemnitz",4912,"2026-05-02"
"AfD Kreisverband Chemnitz",19234,"2026-05-02"
"AfD Erzgebirge",9099,"2026-05-02"
"AfD Vogtland",4700,"2026-05-02"
"AfD Kreisverband Eichsfeld",5855,"2026-05-02"
"AfD Erfurt",8792,"2026-05-02"
"AfD Gera",9337,"2026-05-02"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-05-02"
"AfD Gera Jena SHK",8449,"2026-05-02"
"AfD Kreistagsfraktion Ahrweiler",5987,"2026-05-02"
"AfD Kreisverband Ahrweiler",5666,"2026-05-02"
"AfD Alzey-Worms",4657,"2026-05-02"
"AfD Kreistagsfraktion Alzey-Worms",3180,"2026-05-02"
"AfD Kreisverband Bad Dürkheim",6390,"2026-05-02"
"AfD-Fraktion im Kreistag Bad Dürkheim",6670,"2026-05-02"
"AfD Kreisverband Bad Kreuznach",4166,"2026-05-02"
"AfD-Fraktion Stadtrat Bad Kreuznach",5818,"2026-05-02"
"AfD Bernkastel-Wittlich",8981,"2026-05-02"
