"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1383,"2026-03-30"
"AfD-Fraktion Bautzen",5528,"2026-03-30"
"AfD Görlitz",5609,"2026-03-30"
"AfD-Fraktion im Kreistag Görlitz",5923,"2026-03-30"
"AfD für den Landkreis Görlitz",6084,"2026-03-30"
"AfD SOE",5752,"2026-03-30"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5752,"2026-03-30"
"AfD-Regionalgruppe Sächsische Schweiz",1758,"2026-03-30"
"AfD-Fraktion Dresden",8280,"2026-03-30"
"AfD Dresden",8918,"2026-03-30"
"AfD Meißen",17928,"2026-03-30"
"AfD-Fraktion im Kreistag Meißen",5347,"2026-03-30"
"AfD Stadtratsfraktion Meißen",3859,"2026-03-30"
"AfD-Freundeskreis Meißen",NA,"2026-03-30"
"AfD Mittelsachsen",3686,"2026-03-30"
"AfD Kreisverband Nordsachsen",3008,"2026-03-30"
"AfD-Fraktion Leipzig",9246,"2026-03-30"
"AfD Leipzig",8263,"2026-03-30"
"AfD-Kreisverband Landkreis Leipzig",7774,"2026-03-30"
"AfD Zwickau",14224,"2026-03-30"
"AfD - Stadtratsfraktion Chemnitz",4865,"2026-03-30"
"AfD Kreisverband Chemnitz",19201,"2026-03-30"
"AfD Erzgebirge",8778,"2026-03-30"
"AfD Vogtland",4542,"2026-03-30"
"AfD Kreisverband Eichsfeld",5643,"2026-03-30"
"AfD Erfurt",8748,"2026-03-30"
"AfD Gera",9267,"2026-03-30"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-03-30"
"AfD Gera Jena SHK",8475,"2026-03-30"
"AfD Kreistagsfraktion Ahrweiler",6009,"2026-03-30"
"AfD Kreisverband Ahrweiler",5396,"2026-03-30"
"AfD Alzey-Worms",4652,"2026-03-30"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-03-30"
"AfD Kreisverband Bad Dürkheim",6335,"2026-03-30"
"AfD-Fraktion im Kreistag Bad Dürkheim",6698,"2026-03-30"
"AfD Kreisverband Bad Kreuznach",3857,"2026-03-30"
"AfD-Fraktion Stadtrat Bad Kreuznach",5837,"2026-03-30"
"AfD Bernkastel-Wittlich",9001,"2026-03-30"
