"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1547,"2026-05-18"
"AfD-Fraktion Bautzen",5539,"2026-05-18"
"AfD Görlitz",5664,"2026-05-18"
"AfD-Fraktion im Kreistag Görlitz",5916,"2026-05-18"
"AfD für den Landkreis Görlitz",6055,"2026-05-18"
"AfD SOE",5990,"2026-05-18"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5990,"2026-05-18"
"AfD-Regionalgruppe Sächsische Schweiz",1880,"2026-05-18"
"AfD-Fraktion Dresden",8416,"2026-05-18"
"AfD Dresden",9002,"2026-05-18"
"AfD Meißen",18269,"2026-05-18"
"AfD-Fraktion im Kreistag Meißen",5405,"2026-05-18"
"AfD Stadtratsfraktion Meißen",3887,"2026-05-18"
"AfD-Freundeskreis Meißen",1375,"2026-05-18"
"AfD Mittelsachsen",3680,"2026-05-18"
"AfD Kreisverband Nordsachsen",3328,"2026-05-18"
"AfD-Fraktion Leipzig",9267,"2026-05-18"
"AfD Leipzig",8340,"2026-05-18"
"AfD-Kreisverband Landkreis Leipzig",7798,"2026-05-18"
"AfD Zwickau",14257,"2026-05-18"
"AfD - Stadtratsfraktion Chemnitz",4927,"2026-05-18"
"AfD Kreisverband Chemnitz",19254,"2026-05-18"
"AfD Erzgebirge",9199,"2026-05-18"
"AfD Vogtland",4753,"2026-05-18"
"AfD Kreisverband Eichsfeld",5896,"2026-05-18"
"AfD Erfurt",8798,"2026-05-18"
"AfD Gera",9339,"2026-05-18"
"AfD-Fraktion im Geraer Stadtrat",467,"2026-05-18"
"AfD Gera Jena SHK",8433,"2026-05-18"
"AfD Kreistagsfraktion Ahrweiler",NA,"2026-05-18"
"AfD Kreisverband Ahrweiler",5785,"2026-05-18"
"AfD Alzey-Worms",4690,"2026-05-18"
"AfD Kreistagsfraktion Alzey-Worms",3177,"2026-05-18"
"AfD Kreisverband Bad Dürkheim",6404,"2026-05-18"
"AfD-Fraktion im Kreistag Bad Dürkheim",6661,"2026-05-18"
"AfD Kreisverband Bad Kreuznach",4246,"2026-05-18"
"AfD-Fraktion Stadtrat Bad Kreuznach",5807,"2026-05-18"
"AfD Bernkastel-Wittlich",8988,"2026-05-18"
