"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",NA,"2026-03-09"
"AfD-Fraktion Bautzen",5539,"2026-03-09"
"AfD Görlitz",NA,"2026-03-09"
"AfD-Fraktion im Kreistag Görlitz",5928,"2026-03-09"
"AfD für den Landkreis Görlitz",6100,"2026-03-09"
"AfD SOE",5752,"2026-03-09"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5752,"2026-03-09"
"AfD-Regionalgruppe Sächsische Schweiz",1713,"2026-03-09"
"AfD-Fraktion Dresden",NA,"2026-03-09"
"AfD Dresden",8910,"2026-03-09"
"AfD Meißen",17919,"2026-03-09"
"AfD-Fraktion im Kreistag Meißen",5356,"2026-03-09"
"AfD Stadtratsfraktion Meißen",3707,"2026-03-09"
"AfD-Freundeskreis Meißen",1376,"2026-03-09"
"AfD Mittelsachsen",3686,"2026-03-09"
"AfD Kreisverband Nordsachsen",2983,"2026-03-09"
"AfD-Fraktion Leipzig",9195,"2026-03-09"
"AfD Leipzig",8286,"2026-03-09"
"AfD-Kreisverband Landkreis Leipzig",7780,"2026-03-09"
"AfD Zwickau",14153,"2026-03-09"
"AfD - Stadtratsfraktion Chemnitz",4852,"2026-03-09"
"AfD Kreisverband Chemnitz",19221,"2026-03-09"
"AfD Erzgebirge",8782,"2026-03-09"
"AfD Vogtland",4526,"2026-03-09"
"AfD Kreisverband Eichsfeld",5607,"2026-03-09"
"AfD Erfurt",8536,"2026-03-09"
"AfD Gera",9139,"2026-03-09"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-03-09"
"AfD Gera Jena SHK",8503,"2026-03-09"
"AfD Kreistagsfraktion Ahrweiler",6026,"2026-03-09"
"AfD Kreisverband Ahrweiler",5375,"2026-03-09"
"AfD Alzey-Worms",4490,"2026-03-09"
"AfD Kreistagsfraktion Alzey-Worms",3173,"2026-03-09"
"AfD Kreisverband Bad Dürkheim",6328,"2026-03-09"
"AfD-Fraktion im Kreistag Bad Dürkheim",6717,"2026-03-09"
"AfD Kreisverband Bad Kreuznach",3780,"2026-03-09"
"AfD-Fraktion Stadtrat Bad Kreuznach",5847,"2026-03-09"
"AfD Bernkastel-Wittlich",9009,"2026-03-09"
