"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1803,"2026-08-24"
"AfD-Fraktion Bautzen",5488,"2026-08-24"
"AfD Görlitz",5674,"2026-08-24"
"AfD-Fraktion im Kreistag Görlitz",5871,"2026-08-24"
"AfD für den Landkreis Görlitz",6007,"2026-08-24"
"AfD SOE",5987,"2026-08-24"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5987,"2026-08-24"
"AfD-Regionalgruppe Sächsische Schweiz",2052,"2026-08-24"
"AfD-Fraktion Dresden",8542,"2026-08-24"
"AfD Dresden",9019,"2026-08-24"
"AfD Meißen",18290,"2026-08-24"
"AfD-Fraktion im Kreistag Meißen",5369,"2026-08-24"
"AfD Stadtratsfraktion Meißen",3908,"2026-08-24"
"AfD-Freundeskreis Meißen",1367,"2026-08-24"
"AfD Mittelsachsen",3742,"2026-08-24"
"AfD Kreisverband Nordsachsen",3403,"2026-08-24"
"AfD-Fraktion Leipzig",9374,"2026-08-24"
"AfD Leipzig",8337,"2026-08-24"
"AfD-Kreisverband Landkreis Leipzig",7834,"2026-08-24"
"AfD Zwickau",14265,"2026-08-24"
"AfD - Stadtratsfraktion Chemnitz",5131,"2026-08-24"
"AfD Kreisverband Chemnitz",19403,"2026-08-24"
"AfD Erzgebirge",9214,"2026-08-24"
"AfD Vogtland",4805,"2026-08-24"
"AfD Kreisverband Eichsfeld",5933,"2026-08-24"
"AfD Erfurt",10118,"2026-08-24"
"AfD Gera",9554,"2026-08-24"
"AfD-Fraktion im Geraer Stadtrat",467,"2026-08-24"
"AfD Gera Jena SHK",8370,"2026-08-24"
"AfD Kreistagsfraktion Ahrweiler",5954,"2026-08-24"
"AfD Kreisverband Ahrweiler",5922,"2026-08-24"
"AfD Alzey-Worms",4859,"2026-08-24"
"AfD Kreistagsfraktion Alzey-Worms",3173,"2026-08-24"
"AfD Kreisverband Bad Dürkheim",6371,"2026-08-24"
"AfD-Fraktion im Kreistag Bad Dürkheim",6612,"2026-08-24"
"AfD Kreisverband Bad Kreuznach",4539,"2026-08-24"
"AfD-Fraktion Stadtrat Bad Kreuznach",5748,"2026-08-24"
"AfD Bernkastel-Wittlich",10056,"2026-08-24"
