"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1362,"2026-03-16"
"AfD-Fraktion Bautzen",5534,"2026-03-16"
"AfD Görlitz",5615,"2026-03-16"
"AfD-Fraktion im Kreistag Görlitz",5925,"2026-03-16"
"AfD für den Landkreis Görlitz",6094,"2026-03-16"
"AfD SOE",5750,"2026-03-16"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5750,"2026-03-16"
"AfD-Regionalgruppe Sächsische Schweiz",1715,"2026-03-16"
"AfD-Fraktion Dresden",8253,"2026-03-16"
"AfD Dresden",8907,"2026-03-16"
"AfD Meißen",17912,"2026-03-16"
"AfD-Fraktion im Kreistag Meißen",5351,"2026-03-16"
"AfD Stadtratsfraktion Meißen",3847,"2026-03-16"
"AfD-Freundeskreis Meißen",1375,"2026-03-16"
"AfD Mittelsachsen",3687,"2026-03-16"
"AfD Kreisverband Nordsachsen",2981,"2026-03-16"
"AfD-Fraktion Leipzig",9212,"2026-03-16"
"AfD Leipzig",8279,"2026-03-16"
"AfD-Kreisverband Landkreis Leipzig",7779,"2026-03-16"
"AfD Zwickau",14144,"2026-03-16"
"AfD - Stadtratsfraktion Chemnitz",4860,"2026-03-16"
"AfD Kreisverband Chemnitz",19207,"2026-03-16"
"AfD Erzgebirge",8785,"2026-03-16"
"AfD Vogtland",4521,"2026-03-16"
"AfD Kreisverband Eichsfeld",5605,"2026-03-16"
"AfD Erfurt",8553,"2026-03-16"
"AfD Gera",9140,"2026-03-16"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-03-16"
"AfD Gera Jena SHK",8491,"2026-03-16"
"AfD Kreistagsfraktion Ahrweiler",6022,"2026-03-16"
"AfD Kreisverband Ahrweiler",5383,"2026-03-16"
"AfD Alzey-Worms",4512,"2026-03-16"
"AfD Kreistagsfraktion Alzey-Worms",3172,"2026-03-16"
"AfD Kreisverband Bad Dürkheim",NA,"2026-03-16"
"AfD-Fraktion im Kreistag Bad Dürkheim",6712,"2026-03-16"
"AfD Kreisverband Bad Kreuznach",3821,"2026-03-16"
"AfD-Fraktion Stadtrat Bad Kreuznach",5844,"2026-03-16"
"AfD Bernkastel-Wittlich",9006,"2026-03-16"
