"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1364,"2026-03-23"
"AfD-Fraktion Bautzen",5534,"2026-03-23"
"AfD Görlitz",5613,"2026-03-23"
"AfD-Fraktion im Kreistag Görlitz",5923,"2026-03-23"
"AfD für den Landkreis Görlitz",6090,"2026-03-23"
"AfD SOE",5746,"2026-03-23"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5746,"2026-03-23"
"AfD-Regionalgruppe Sächsische Schweiz",1719,"2026-03-23"
"AfD-Fraktion Dresden",8270,"2026-03-23"
"AfD Dresden",8903,"2026-03-23"
"AfD Meißen",17911,"2026-03-23"
"AfD-Fraktion im Kreistag Meißen",5349,"2026-03-23"
"AfD Stadtratsfraktion Meißen",3858,"2026-03-23"
"AfD-Freundeskreis Meißen",1376,"2026-03-23"
"AfD Mittelsachsen",3688,"2026-03-23"
"AfD Kreisverband Nordsachsen",2981,"2026-03-23"
"AfD-Fraktion Leipzig",9225,"2026-03-23"
"AfD Leipzig",8272,"2026-03-23"
"AfD-Kreisverband Landkreis Leipzig",7782,"2026-03-23"
"AfD Zwickau",14227,"2026-03-23"
"AfD - Stadtratsfraktion Chemnitz",4865,"2026-03-23"
"AfD Kreisverband Chemnitz",19197,"2026-03-23"
"AfD Erzgebirge",8783,"2026-03-23"
"AfD Vogtland",4517,"2026-03-23"
"AfD Kreisverband Eichsfeld",NA,"2026-03-23"
"AfD Erfurt",8683,"2026-03-23"
"AfD Gera",9215,"2026-03-23"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-03-23"
"AfD Gera Jena SHK",8485,"2026-03-23"
"AfD Kreistagsfraktion Ahrweiler",6017,"2026-03-23"
"AfD Kreisverband Ahrweiler",5387,"2026-03-23"
"AfD Alzey-Worms",4612,"2026-03-23"
"AfD Kreistagsfraktion Alzey-Worms",3172,"2026-03-23"
"AfD Kreisverband Bad Dürkheim",6328,"2026-03-23"
"AfD-Fraktion im Kreistag Bad Dürkheim",6705,"2026-03-23"
"AfD Kreisverband Bad Kreuznach",3839,"2026-03-23"
"AfD-Fraktion Stadtrat Bad Kreuznach",5844,"2026-03-23"
"AfD Bernkastel-Wittlich",9014,"2026-03-23"
