"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1744,"2026-06-22"
"AfD-Fraktion Bautzen",5516,"2026-06-22"
"AfD Görlitz",5679,"2026-06-22"
"AfD-Fraktion im Kreistag Görlitz",5897,"2026-06-22"
"AfD für den Landkreis Görlitz",6034,"2026-06-22"
"AfD SOE",6014,"2026-06-22"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6014,"2026-06-22"
"AfD-Regionalgruppe Sächsische Schweiz",1923,"2026-06-22"
"AfD-Fraktion Dresden",8510,"2026-06-22"
"AfD Dresden",9003,"2026-06-22"
"AfD Meißen",18346,"2026-06-22"
"AfD-Fraktion im Kreistag Meißen",5393,"2026-06-22"
"AfD Stadtratsfraktion Meißen",3909,"2026-06-22"
"AfD-Freundeskreis Meißen",1373,"2026-06-22"
"AfD Mittelsachsen",3750,"2026-06-22"
"AfD Kreisverband Nordsachsen",3404,"2026-06-22"
"AfD-Fraktion Leipzig",9268,"2026-06-22"
"AfD Leipzig",8362,"2026-06-22"
"AfD-Kreisverband Landkreis Leipzig",7846,"2026-06-22"
"AfD Zwickau",14246,"2026-06-22"
"AfD - Stadtratsfraktion Chemnitz",4986,"2026-06-22"
"AfD Kreisverband Chemnitz",19431,"2026-06-22"
"AfD Erzgebirge",9227,"2026-06-22"
"AfD Vogtland",4809,"2026-06-22"
"AfD Kreisverband Eichsfeld",5921,"2026-06-22"
"AfD Erfurt",9102,"2026-06-22"
"AfD Gera",9415,"2026-06-22"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-06-22"
"AfD Gera Jena SHK",8413,"2026-06-22"
"AfD Kreistagsfraktion Ahrweiler",5970,"2026-06-22"
"AfD Kreisverband Ahrweiler",5886,"2026-06-22"
"AfD Alzey-Worms",4718,"2026-06-22"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-06-22"
"AfD Kreisverband Bad Dürkheim",6390,"2026-06-22"
"AfD-Fraktion im Kreistag Bad Dürkheim",6641,"2026-06-22"
"AfD Kreisverband Bad Kreuznach",4323,"2026-06-22"
"AfD-Fraktion Stadtrat Bad Kreuznach",5786,"2026-06-22"
"AfD Bernkastel-Wittlich",9174,"2026-06-22"
