"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1507,"2026-05-04"
"AfD-Fraktion Bautzen",5540,"2026-05-04"
"AfD Görlitz",5623,"2026-05-04"
"AfD-Fraktion im Kreistag Görlitz",5919,"2026-05-04"
"AfD für den Landkreis Görlitz",6059,"2026-05-04"
"AfD SOE",5911,"2026-05-04"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5911,"2026-05-04"
"AfD-Regionalgruppe Sächsische Schweiz",1876,"2026-05-04"
"AfD-Fraktion Dresden",8412,"2026-05-04"
"AfD Dresden",8971,"2026-05-04"
"AfD Meißen",18220,"2026-05-04"
"AfD-Fraktion im Kreistag Meißen",5362,"2026-05-04"
"AfD Stadtratsfraktion Meißen",3886,"2026-05-04"
"AfD-Freundeskreis Meißen",1377,"2026-05-04"
"AfD Mittelsachsen",3682,"2026-05-04"
"AfD Kreisverband Nordsachsen",3278,"2026-05-04"
"AfD-Fraktion Leipzig",9258,"2026-05-04"
"AfD Leipzig",8272,"2026-05-04"
"AfD-Kreisverband Landkreis Leipzig",7793,"2026-05-04"
"AfD Zwickau",14249,"2026-05-04"
"AfD - Stadtratsfraktion Chemnitz",4912,"2026-05-04"
"AfD Kreisverband Chemnitz",19232,"2026-05-04"
"AfD Erzgebirge",9106,"2026-05-04"
"AfD Vogtland",4702,"2026-05-04"
"AfD Kreisverband Eichsfeld",5855,"2026-05-04"
"AfD Erfurt",8791,"2026-05-04"
"AfD Gera",9332,"2026-05-04"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-05-04"
"AfD Gera Jena SHK",8446,"2026-05-04"
"AfD Kreistagsfraktion Ahrweiler",5986,"2026-05-04"
"AfD Kreisverband Ahrweiler",5681,"2026-05-04"
"AfD Alzey-Worms",4661,"2026-05-04"
"AfD Kreistagsfraktion Alzey-Worms",3179,"2026-05-04"
"AfD Kreisverband Bad Dürkheim",6389,"2026-05-04"
"AfD-Fraktion im Kreistag Bad Dürkheim",6668,"2026-05-04"
"AfD Kreisverband Bad Kreuznach",4177,"2026-05-04"
"AfD-Fraktion Stadtrat Bad Kreuznach",5816,"2026-05-04"
"AfD Bernkastel-Wittlich",8978,"2026-05-04"
