"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",NA,"2026-05-25"
"AfD-Fraktion Bautzen",5534,"2026-05-25"
"AfD Görlitz",5670,"2026-05-25"
"AfD-Fraktion im Kreistag Görlitz",5912,"2026-05-25"
"AfD für den Landkreis Görlitz",6048,"2026-05-25"
"AfD SOE",NA,"2026-05-25"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6003,"2026-05-25"
"AfD-Regionalgruppe Sächsische Schweiz",1883,"2026-05-25"
"AfD-Fraktion Dresden",8434,"2026-05-25"
"AfD Dresden",9011,"2026-05-25"
"AfD Meißen",18284,"2026-05-25"
"AfD-Fraktion im Kreistag Meißen",5404,"2026-05-25"
"AfD Stadtratsfraktion Meißen",3889,"2026-05-25"
"AfD-Freundeskreis Meißen",1374,"2026-05-25"
"AfD Mittelsachsen",3681,"2026-05-25"
"AfD Kreisverband Nordsachsen",3362,"2026-05-25"
"AfD-Fraktion Leipzig",9269,"2026-05-25"
"AfD Leipzig",8344,"2026-05-25"
"AfD-Kreisverband Landkreis Leipzig",7795,"2026-05-25"
"AfD Zwickau",14254,"2026-05-25"
"AfD - Stadtratsfraktion Chemnitz",4926,"2026-05-25"
"AfD Kreisverband Chemnitz",19361,"2026-05-25"
"AfD Erzgebirge",9202,"2026-05-25"
"AfD Vogtland",4773,"2026-05-25"
"AfD Kreisverband Eichsfeld",5917,"2026-05-25"
"AfD Erfurt",8837,"2026-05-25"
"AfD Gera",9351,"2026-05-25"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-05-25"
"AfD Gera Jena SHK",8425,"2026-05-25"
"AfD Kreistagsfraktion Ahrweiler",5983,"2026-05-25"
"AfD Kreisverband Ahrweiler",5828,"2026-05-25"
"AfD Alzey-Worms",4693,"2026-05-25"
"AfD Kreistagsfraktion Alzey-Worms",3178,"2026-05-25"
"AfD Kreisverband Bad Dürkheim",6400,"2026-05-25"
"AfD-Fraktion im Kreistag Bad Dürkheim",6654,"2026-05-25"
"AfD Kreisverband Bad Kreuznach",4284,"2026-05-25"
"AfD-Fraktion Stadtrat Bad Kreuznach",5800,"2026-05-25"
"AfD Bernkastel-Wittlich",8982,"2026-05-25"
