"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1741,"2026-06-15"
"AfD-Fraktion Bautzen",5522,"2026-06-15"
"AfD Görlitz",5680,"2026-06-15"
"AfD-Fraktion im Kreistag Görlitz",5902,"2026-06-15"
"AfD für den Landkreis Görlitz",6040,"2026-06-15"
"AfD SOE",6025,"2026-06-15"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6025,"2026-06-15"
"AfD-Regionalgruppe Sächsische Schweiz",1910,"2026-06-15"
"AfD-Fraktion Dresden",8483,"2026-06-15"
"AfD Dresden",9010,"2026-06-15"
"AfD Meißen",18359,"2026-06-15"
"AfD-Fraktion im Kreistag Meißen",5402,"2026-06-15"
"AfD Stadtratsfraktion Meißen",3905,"2026-06-15"
"AfD-Freundeskreis Meißen",1373,"2026-06-15"
"AfD Mittelsachsen",3750,"2026-06-15"
"AfD Kreisverband Nordsachsen",3409,"2026-06-15"
"AfD-Fraktion Leipzig",9270,"2026-06-15"
"AfD Leipzig",8366,"2026-06-15"
"AfD-Kreisverband Landkreis Leipzig",7850,"2026-06-15"
"AfD Zwickau",14251,"2026-06-15"
"AfD - Stadtratsfraktion Chemnitz",4984,"2026-06-15"
"AfD Kreisverband Chemnitz",19438,"2026-06-15"
"AfD Erzgebirge",9227,"2026-06-15"
"AfD Vogtland",4808,"2026-06-15"
"AfD Kreisverband Eichsfeld",5928,"2026-06-15"
"AfD Erfurt",9065,"2026-06-15"
"AfD Gera",9406,"2026-06-15"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-06-15"
"AfD Gera Jena SHK",8425,"2026-06-15"
"AfD Kreistagsfraktion Ahrweiler",5974,"2026-06-15"
"AfD Kreisverband Ahrweiler",5896,"2026-06-15"
"AfD Alzey-Worms",4722,"2026-06-15"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-06-15"
"AfD Kreisverband Bad Dürkheim",6395,"2026-06-15"
"AfD-Fraktion im Kreistag Bad Dürkheim",6645,"2026-06-15"
"AfD Kreisverband Bad Kreuznach",4327,"2026-06-15"
"AfD-Fraktion Stadtrat Bad Kreuznach",5792,"2026-06-15"
"AfD Bernkastel-Wittlich",8989,"2026-06-15"
