"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1358,"2026-02-16"
"AfD-Fraktion Bautzen",5557,"2026-02-16"
"AfD Görlitz",5625,"2026-02-16"
"AfD-Fraktion im Kreistag Görlitz",5932,"2026-02-16"
"AfD für den Landkreis Görlitz",6122,"2026-02-16"
"AfD SOE",5768,"2026-02-16"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5768,"2026-02-16"
"AfD-Regionalgruppe Sächsische Schweiz",1716,"2026-02-16"
"AfD-Fraktion Dresden",8260,"2026-02-16"
"AfD Dresden",8929,"2026-02-16"
"AfD Meißen",17948,"2026-02-16"
"AfD-Fraktion im Kreistag Meißen",5376,"2026-02-16"
"AfD Stadtratsfraktion Meißen",3645,"2026-02-16"
"AfD-Freundeskreis Meißen",1380,"2026-02-16"
"AfD Mittelsachsen",3694,"2026-02-16"
"AfD Kreisverband Nordsachsen",2978,"2026-02-16"
"AfD-Fraktion Leipzig",9160,"2026-02-16"
"AfD Leipzig",8301,"2026-02-16"
"AfD-Kreisverband Landkreis Leipzig",7791,"2026-02-16"
"AfD Zwickau",14157,"2026-02-16"
"AfD - Stadtratsfraktion Chemnitz",4857,"2026-02-16"
"AfD Kreisverband Chemnitz",19254,"2026-02-16"
"AfD Erzgebirge",8790,"2026-02-16"
"AfD Vogtland",4541,"2026-02-16"
"AfD Kreisverband Eichsfeld",5597,"2026-02-16"
"AfD Erfurt",8461,"2026-02-16"
"AfD Gera",9073,"2026-02-16"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-02-16"
"AfD Gera Jena SHK",8542,"2026-02-16"
"AfD Kreistagsfraktion Ahrweiler",6046,"2026-02-16"
"AfD Kreisverband Ahrweiler",5368,"2026-02-16"
"AfD Alzey-Worms",4382,"2026-02-16"
"AfD Kreistagsfraktion Alzey-Worms",3182,"2026-02-16"
"AfD Kreisverband Bad Dürkheim",6338,"2026-02-16"
"AfD-Fraktion im Kreistag Bad Dürkheim",6740,"2026-02-16"
"AfD Kreisverband Bad Kreuznach",3635,"2026-02-16"
"AfD-Fraktion Stadtrat Bad Kreuznach",5864,"2026-02-16"
"AfD Bernkastel-Wittlich",8982,"2026-02-16"
