"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",1741,"2026-07-27"
"AfD-Fraktion Bautzen",5501,"2026-07-27"
"AfD Görlitz",5664,"2026-07-27"
"AfD-Fraktion im Kreistag Görlitz",5883,"2026-07-27"
"AfD für den Landkreis Görlitz",6020,"2026-07-27"
"AfD SOE",5997,"2026-07-27"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5997,"2026-07-27"
"AfD-Regionalgruppe Sächsische Schweiz",2006,"2026-07-27"
"AfD-Fraktion Dresden",8532,"2026-07-27"
"AfD Dresden",9037,"2026-07-27"
"AfD Meißen",18317,"2026-07-27"
"AfD-Fraktion im Kreistag Meißen",NA,"2026-07-27"
"AfD Stadtratsfraktion Meißen",3922,"2026-07-27"
"AfD-Freundeskreis Meißen",1372,"2026-07-27"
"AfD Mittelsachsen",3746,"2026-07-27"
"AfD Kreisverband Nordsachsen",3401,"2026-07-27"
"AfD-Fraktion Leipzig",9366,"2026-07-27"
"AfD Leipzig",8346,"2026-07-27"
"AfD-Kreisverband Landkreis Leipzig",7861,"2026-07-27"
"AfD Zwickau",14282,"2026-07-27"
"AfD - Stadtratsfraktion Chemnitz",5104,"2026-07-27"
"AfD Kreisverband Chemnitz",19446,"2026-07-27"
"AfD Erzgebirge",9210,"2026-07-27"
"AfD Vogtland",4804,"2026-07-27"
"AfD Kreisverband Eichsfeld",5924,"2026-07-27"
"AfD Erfurt",9892,"2026-07-27"
"AfD Gera",9526,"2026-07-27"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-07-27"
"AfD Gera Jena SHK",8396,"2026-07-27"
"AfD Kreistagsfraktion Ahrweiler",5960,"2026-07-27"
"AfD Kreisverband Ahrweiler",5874,"2026-07-27"
"AfD Alzey-Worms",4836,"2026-07-27"
"AfD Kreistagsfraktion Alzey-Worms",3173,"2026-07-27"
"AfD Kreisverband Bad Dürkheim",6379,"2026-07-27"
"AfD-Fraktion im Kreistag Bad Dürkheim",6628,"2026-07-27"
"AfD Kreisverband Bad Kreuznach",4381,"2026-07-27"
"AfD-Fraktion Stadtrat Bad Kreuznach",5763,"2026-07-27"
"AfD Bernkastel-Wittlich",9521,"2026-07-27"
