"Seitenname","Likes","Datum"
"AFD Kreisverband Bautzen",NA,"2026-08-31"
"AfD-Fraktion Bautzen",NA,"2026-08-31"
"AfD Görlitz",NA,"2026-08-31"
"AfD-Fraktion im Kreistag Görlitz",NA,"2026-08-31"
"AfD für den Landkreis Görlitz",NA,"2026-08-31"
"AfD SOE",NA,"2026-08-31"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",NA,"2026-08-31"
"AfD-Regionalgruppe Sächsische Schweiz",NA,"2026-08-31"
"AfD-Fraktion Dresden",NA,"2026-08-31"
"AfD Dresden",NA,"2026-08-31"
"AfD Meißen",NA,"2026-08-31"
"AfD-Fraktion im Kreistag Meißen",NA,"2026-08-31"
"AfD Stadtratsfraktion Meißen",NA,"2026-08-31"
"AfD-Freundeskreis Meißen",NA,"2026-08-31"
"AfD Mittelsachsen",NA,"2026-08-31"
"AfD Kreisverband Nordsachsen",NA,"2026-08-31"
"AfD-Fraktion Leipzig",NA,"2026-08-31"
"AfD Leipzig",NA,"2026-08-31"
"AfD-Kreisverband Landkreis Leipzig",NA,"2026-08-31"
"AfD Zwickau",NA,"2026-08-31"
"AfD - Stadtratsfraktion Chemnitz",NA,"2026-08-31"
"AfD Kreisverband Chemnitz",NA,"2026-08-31"
"AfD Erzgebirge",NA,"2026-08-31"
"AfD Vogtland",NA,"2026-08-31"
"AfD Kreisverband Eichsfeld",NA,"2026-08-31"
"AfD Erfurt",NA,"2026-08-31"
"AfD Gera",NA,"2026-08-31"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-08-31"
"AfD Gera Jena SHK",NA,"2026-08-31"
"AfD Kreistagsfraktion Ahrweiler",NA,"2026-08-31"
"AfD Kreisverband Ahrweiler",NA,"2026-08-31"
"AfD Alzey-Worms",NA,"2026-08-31"
"AfD Kreistagsfraktion Alzey-Worms",NA,"2026-08-31"
"AfD Kreisverband Bad Dürkheim",NA,"2026-08-31"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-08-31"
"AfD Kreisverband Bad Kreuznach",NA,"2026-08-31"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-08-31"
"AfD Bernkastel-Wittlich",NA,"2026-08-31"
