"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",NA,"2026-04-27",1487,"2026-04-20",NA,100,"0"
"AfD-Fraktion Bautzen",NA,"2026-04-27",5540,"2026-04-20",NA,100,"0"
"AfD Görlitz",NA,"2026-04-27",5617,"2026-04-20",NA,100,"0"
"AfD-Fraktion im Kreistag Görlitz",NA,"2026-04-27",5931,"2026-04-20",NA,100,"0"
"AfD für den Landkreis Görlitz",NA,"2026-04-27",6076,"2026-04-20",NA,100,"0"
"AfD SOE",NA,"2026-04-27",5885,"2026-04-20",NA,100,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",NA,"2026-04-27",5885,"2026-04-20",NA,100,"0"
"AfD-Regionalgruppe Sächsische Schweiz",NA,"2026-04-27",1850,"2026-04-20",NA,100,"0"
"AfD-Fraktion Dresden",NA,"2026-04-27",8391,"2026-04-20",NA,100,"0"
"AfD Dresden",NA,"2026-04-27",8943,"2026-04-20",NA,100,"0"
"AfD Meißen",NA,"2026-04-27",18142,"2026-04-20",NA,100,"0"
"AfD-Fraktion im Kreistag Meißen",NA,"2026-04-27",5355,"2026-04-20",NA,100,"0"
"AfD Stadtratsfraktion Meißen",NA,"2026-04-27",3867,"2026-04-20",NA,100,"0"
"AfD-Freundeskreis Meißen",NA,"2026-04-27",1376,"2026-04-20",NA,100,"0"
"AfD Mittelsachsen",NA,"2026-04-27",3681,"2026-04-20",NA,100,"0"
"AfD Kreisverband Nordsachsen",NA,"2026-04-27",3182,"2026-04-20",NA,100,"0"
"AfD-Fraktion Leipzig",NA,"2026-04-27",9255,"2026-04-20",NA,100,"0"
"AfD Leipzig",NA,"2026-04-27",8277,"2026-04-20",NA,100,"0"
"AfD-Kreisverband Landkreis Leipzig",NA,"2026-04-27",7792,"2026-04-20",NA,100,"0"
"AfD Zwickau",NA,"2026-04-27",14248,"2026-04-20",NA,100,"0"
"AfD - Stadtratsfraktion Chemnitz",NA,"2026-04-27",4886,"2026-04-20",NA,100,"0"
"AfD Kreisverband Chemnitz",NA,"2026-04-27",19231,"2026-04-20",NA,100,"0"
"AfD Erzgebirge",NA,"2026-04-27",9027,"2026-04-20",NA,100,"0"
"AfD Vogtland",NA,"2026-04-27",4657,"2026-04-20",NA,100,"0"
"AfD Kreisverband Eichsfeld",NA,"2026-04-27",5813,"2026-04-20",NA,100,"0"
"AfD Erfurt",NA,"2026-04-27",8789,"2026-04-20",NA,100,"0"
"AfD Gera",NA,"2026-04-27",9336,"2026-04-20",NA,100,"0"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-04-27",464,"2026-04-20",NA,100,"0"
"AfD Gera Jena SHK",NA,"2026-04-27",8455,"2026-04-20",NA,100,"0"
"AfD Kreistagsfraktion Ahrweiler",NA,"2026-04-27",6000,"2026-04-20",NA,100,"0"
"AfD Kreisverband Ahrweiler",NA,"2026-04-27",5574,"2026-04-20",NA,100,"0"
"AfD Alzey-Worms",NA,"2026-04-27",4660,"2026-04-20",NA,100,"0"
"AfD Kreistagsfraktion Alzey-Worms",NA,"2026-04-27",3186,"2026-04-20",NA,100,"0"
"AfD Kreisverband Bad Dürkheim",NA,"2026-04-27",6383,"2026-04-20",NA,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-04-27",NA,"2026-04-20",NA,100,"0"
"AfD Kreisverband Bad Kreuznach",NA,"2026-04-27",4096,"2026-04-20",NA,100,"0"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-04-27",NA,"2026-04-20",NA,100,"0"
"AfD Bernkastel-Wittlich",NA,"2026-04-27",8996,"2026-04-20",NA,100,"0"
