"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1471,"2026-04-06",1383,"2026-03-30",88,6.36,"+88"
"AfD-Fraktion Bautzen",5548,"2026-04-06",5528,"2026-03-30",20,0.36,"+20"
"AfD Görlitz",5614,"2026-04-06",5609,"2026-03-30",5,0.09,"+5"
"AfD-Fraktion im Kreistag Görlitz",5931,"2026-04-06",5923,"2026-03-30",8,0.14,"+8"
"AfD für den Landkreis Görlitz",6085,"2026-04-06",6084,"2026-03-30",1,0.02,"+1"
"AfD SOE",5769,"2026-04-06",5752,"2026-03-30",17,0.3,"+17"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5769,"2026-04-06",5752,"2026-03-30",17,0.3,"+17"
"AfD-Regionalgruppe Sächsische Schweiz",1827,"2026-04-06",1758,"2026-03-30",69,3.92,"+69"
"AfD-Fraktion Dresden",8373,"2026-04-06",8280,"2026-03-30",93,1.12,"+93"
"AfD Dresden",8938,"2026-04-06",8918,"2026-03-30",20,0.22,"+20"
"AfD Meißen",17963,"2026-04-06",17928,"2026-03-30",35,0.2,"+35"
"AfD-Fraktion im Kreistag Meißen",5350,"2026-04-06",5347,"2026-03-30",3,0.06,"+3"
"AfD Stadtratsfraktion Meißen",3870,"2026-04-06",3859,"2026-03-30",11,0.29,"+11"
"AfD-Freundeskreis Meißen",1377,"2026-04-06",NA,"2026-03-30",1377,100,"0"
"AfD Mittelsachsen",3686,"2026-04-06",3686,"2026-03-30",0,0,"0"
"AfD Kreisverband Nordsachsen",3105,"2026-04-06",3008,"2026-03-30",97,3.22,"+97"
"AfD-Fraktion Leipzig",9261,"2026-04-06",9246,"2026-03-30",15,0.16,"+15"
"AfD Leipzig",8273,"2026-04-06",8263,"2026-03-30",10,0.12,"+10"
"AfD-Kreisverband Landkreis Leipzig",7779,"2026-04-06",7774,"2026-03-30",5,0.06,"+5"
"AfD Zwickau",14227,"2026-04-06",14224,"2026-03-30",3,0.02,"+3"
"AfD - Stadtratsfraktion Chemnitz",4875,"2026-04-06",4865,"2026-03-30",10,0.21,"+10"
"AfD Kreisverband Chemnitz",19228,"2026-04-06",19201,"2026-03-30",27,0.14,"+27"
"AfD Erzgebirge",8798,"2026-04-06",8778,"2026-03-30",20,0.23,"+20"
"AfD Vogtland",4618,"2026-04-06",4542,"2026-03-30",76,1.67,"+76"
"AfD Kreisverband Eichsfeld",5737,"2026-04-06",5643,"2026-03-30",94,1.67,"+94"
"AfD Erfurt",8774,"2026-04-06",8748,"2026-03-30",26,0.3,"+26"
"AfD Gera",9319,"2026-04-06",9267,"2026-03-30",52,0.56,"+52"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-04-06",464,"2026-03-30",0,0,"0"
"AfD Gera Jena SHK",8474,"2026-04-06",8475,"2026-03-30",-1,-0.01,"-1"
"AfD Kreistagsfraktion Ahrweiler",6010,"2026-04-06",6009,"2026-03-30",1,0.02,"+1"
"AfD Kreisverband Ahrweiler",5455,"2026-04-06",5396,"2026-03-30",59,1.09,"+59"
"AfD Alzey-Worms",4655,"2026-04-06",4652,"2026-03-30",3,0.06,"+3"
"AfD Kreistagsfraktion Alzey-Worms",3190,"2026-04-06",3176,"2026-03-30",14,0.44,"+14"
"AfD Kreisverband Bad Dürkheim",6357,"2026-04-06",6335,"2026-03-30",22,0.35,"+22"
"AfD-Fraktion im Kreistag Bad Dürkheim",6699,"2026-04-06",6698,"2026-03-30",1,0.01,"+1"
"AfD Kreisverband Bad Kreuznach",3902,"2026-04-06",3857,"2026-03-30",45,1.17,"+45"
"AfD-Fraktion Stadtrat Bad Kreuznach",5843,"2026-04-06",5837,"2026-03-30",6,0.1,"+6"
"AfD Bernkastel-Wittlich",9002,"2026-04-06",9001,"2026-03-30",1,0.01,"+1"
