"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1362,"2026-03-16",NA,"2026-03-09",1362,100,"0"
"AfD-Fraktion Bautzen",5534,"2026-03-16",5539,"2026-03-09",-5,-0.09,"-5"
"AfD Görlitz",5615,"2026-03-16",NA,"2026-03-09",5615,100,"0"
"AfD-Fraktion im Kreistag Görlitz",5925,"2026-03-16",5928,"2026-03-09",-3,-0.05,"-3"
"AfD für den Landkreis Görlitz",6094,"2026-03-16",6100,"2026-03-09",-6,-0.1,"-6"
"AfD SOE",5750,"2026-03-16",5752,"2026-03-09",-2,-0.03,"-2"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5750,"2026-03-16",5752,"2026-03-09",-2,-0.03,"-2"
"AfD-Regionalgruppe Sächsische Schweiz",1715,"2026-03-16",1713,"2026-03-09",2,0.12,"+2"
"AfD-Fraktion Dresden",8253,"2026-03-16",NA,"2026-03-09",8253,100,"0"
"AfD Dresden",8907,"2026-03-16",8910,"2026-03-09",-3,-0.03,"-3"
"AfD Meißen",17912,"2026-03-16",17919,"2026-03-09",-7,-0.04,"-7"
"AfD-Fraktion im Kreistag Meißen",5351,"2026-03-16",5356,"2026-03-09",-5,-0.09,"-5"
"AfD Stadtratsfraktion Meißen",3847,"2026-03-16",3707,"2026-03-09",140,3.78,"+140"
"AfD-Freundeskreis Meißen",1375,"2026-03-16",1376,"2026-03-09",-1,-0.07,"-1"
"AfD Mittelsachsen",3687,"2026-03-16",3686,"2026-03-09",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",2981,"2026-03-16",2983,"2026-03-09",-2,-0.07,"-2"
"AfD-Fraktion Leipzig",9212,"2026-03-16",9195,"2026-03-09",17,0.18,"+17"
"AfD Leipzig",8279,"2026-03-16",8286,"2026-03-09",-7,-0.08,"-7"
"AfD-Kreisverband Landkreis Leipzig",7779,"2026-03-16",7780,"2026-03-09",-1,-0.01,"-1"
"AfD Zwickau",14144,"2026-03-16",14153,"2026-03-09",-9,-0.06,"-9"
"AfD - Stadtratsfraktion Chemnitz",4860,"2026-03-16",4852,"2026-03-09",8,0.16,"+8"
"AfD Kreisverband Chemnitz",19207,"2026-03-16",19221,"2026-03-09",-14,-0.07,"-14"
"AfD Erzgebirge",8785,"2026-03-16",8782,"2026-03-09",3,0.03,"+3"
"AfD Vogtland",4521,"2026-03-16",4526,"2026-03-09",-5,-0.11,"-5"
"AfD Kreisverband Eichsfeld",5605,"2026-03-16",5607,"2026-03-09",-2,-0.04,"-2"
"AfD Erfurt",8553,"2026-03-16",8536,"2026-03-09",17,0.2,"+17"
"AfD Gera",9140,"2026-03-16",9139,"2026-03-09",1,0.01,"+1"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-03-16",463,"2026-03-09",0,0,"0"
"AfD Gera Jena SHK",8491,"2026-03-16",8503,"2026-03-09",-12,-0.14,"-12"
"AfD Kreistagsfraktion Ahrweiler",6022,"2026-03-16",6026,"2026-03-09",-4,-0.07,"-4"
"AfD Kreisverband Ahrweiler",5383,"2026-03-16",5375,"2026-03-09",8,0.15,"+8"
"AfD Alzey-Worms",4512,"2026-03-16",4490,"2026-03-09",22,0.49,"+22"
"AfD Kreistagsfraktion Alzey-Worms",3172,"2026-03-16",3173,"2026-03-09",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",NA,"2026-03-16",6328,"2026-03-09",NA,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6712,"2026-03-16",6717,"2026-03-09",-5,-0.07,"-5"
"AfD Kreisverband Bad Kreuznach",3821,"2026-03-16",3780,"2026-03-09",41,1.08,"+41"
"AfD-Fraktion Stadtrat Bad Kreuznach",5844,"2026-03-16",5847,"2026-03-09",-3,-0.05,"-3"
"AfD Bernkastel-Wittlich",9006,"2026-03-16",9009,"2026-03-09",-3,-0.03,"-3"
