"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1772,"2026-08-17",1744,"2026-08-10",28,1.61,"+28"
"AfD-Fraktion Bautzen",5495,"2026-08-17",5497,"2026-08-10",-2,-0.04,"-2"
"AfD Görlitz",5670,"2026-08-17",5667,"2026-08-10",3,0.05,"+3"
"AfD-Fraktion im Kreistag Görlitz",5878,"2026-08-17",5878,"2026-08-10",0,0,"0"
"AfD für den Landkreis Görlitz",6010,"2026-08-17",6012,"2026-08-10",-2,-0.03,"-2"
"AfD SOE",5992,"2026-08-17",5993,"2026-08-10",-1,-0.02,"-1"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5992,"2026-08-17",5993,"2026-08-10",-1,-0.02,"-1"
"AfD-Regionalgruppe Sächsische Schweiz",2039,"2026-08-17",2032,"2026-08-10",7,0.34,"+7"
"AfD-Fraktion Dresden",8536,"2026-08-17",8536,"2026-08-10",0,0,"0"
"AfD Dresden",9025,"2026-08-17",9031,"2026-08-10",-6,-0.07,"-6"
"AfD Meißen",18298,"2026-08-17",18305,"2026-08-10",-7,-0.04,"-7"
"AfD-Fraktion im Kreistag Meißen",5371,"2026-08-17",5374,"2026-08-10",-3,-0.06,"-3"
"AfD Stadtratsfraktion Meißen",3911,"2026-08-17",3912,"2026-08-10",-1,-0.03,"-1"
"AfD-Freundeskreis Meißen",1369,"2026-08-17",1370,"2026-08-10",-1,-0.07,"-1"
"AfD Mittelsachsen",3741,"2026-08-17",3747,"2026-08-10",-6,-0.16,"-6"
"AfD Kreisverband Nordsachsen",3402,"2026-08-17",3399,"2026-08-10",3,0.09,"+3"
"AfD-Fraktion Leipzig",9375,"2026-08-17",9380,"2026-08-10",-5,-0.05,"-5"
"AfD Leipzig",8341,"2026-08-17",8343,"2026-08-10",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",7840,"2026-08-17",7845,"2026-08-10",-5,-0.06,"-5"
"AfD Zwickau",14269,"2026-08-17",14270,"2026-08-10",-1,-0.01,"-1"
"AfD - Stadtratsfraktion Chemnitz",5126,"2026-08-17",5129,"2026-08-10",-3,-0.06,"-3"
"AfD Kreisverband Chemnitz",19410,"2026-08-17",19423,"2026-08-10",-13,-0.07,"-13"
"AfD Erzgebirge",9220,"2026-08-17",9225,"2026-08-10",-5,-0.05,"-5"
"AfD Vogtland",4810,"2026-08-17",4810,"2026-08-10",0,0,"0"
"AfD Kreisverband Eichsfeld",5925,"2026-08-17",5920,"2026-08-10",5,0.08,"+5"
"AfD Erfurt",10033,"2026-08-17",9988,"2026-08-10",45,0.45,"+45"
"AfD Gera",9542,"2026-08-17",9534,"2026-08-10",8,0.08,"+8"
"AfD-Fraktion im Geraer Stadtrat",466,"2026-08-17",465,"2026-08-10",1,0.22,"+1"
"AfD Gera Jena SHK",8379,"2026-08-17",8386,"2026-08-10",-7,-0.08,"-7"
"AfD Kreistagsfraktion Ahrweiler",5955,"2026-08-17",5956,"2026-08-10",-1,-0.02,"-1"
"AfD Kreisverband Ahrweiler",5885,"2026-08-17",5886,"2026-08-10",-1,-0.02,"-1"
"AfD Alzey-Worms",4855,"2026-08-17",4834,"2026-08-10",21,0.43,"+21"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-08-17",3174,"2026-08-10",0,0,"0"
"AfD Kreisverband Bad Dürkheim",6371,"2026-08-17",6371,"2026-08-10",0,0,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6616,"2026-08-17",6619,"2026-08-10",-3,-0.05,"-3"
"AfD Kreisverband Bad Kreuznach",4527,"2026-08-17",4515,"2026-08-10",12,0.27,"+12"
"AfD-Fraktion Stadtrat Bad Kreuznach",5754,"2026-08-17",5755,"2026-08-10",-1,-0.02,"-1"
"AfD Bernkastel-Wittlich",10009,"2026-08-17",9837,"2026-08-10",172,1.75,"+172"
