"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1746,"2026-06-29",1744,"2026-06-22",2,0.11,"+2"
"AfD-Fraktion Bautzen",5515,"2026-06-29",5516,"2026-06-22",-1,-0.02,"-1"
"AfD Görlitz",5678,"2026-06-29",5679,"2026-06-22",-1,-0.02,"-1"
"AfD-Fraktion im Kreistag Görlitz",5897,"2026-06-29",5897,"2026-06-22",0,0,"0"
"AfD für den Landkreis Görlitz",6032,"2026-06-29",6034,"2026-06-22",-2,-0.03,"-2"
"AfD SOE",6014,"2026-06-29",6014,"2026-06-22",0,0,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6014,"2026-06-29",6014,"2026-06-22",0,0,"0"
"AfD-Regionalgruppe Sächsische Schweiz",1953,"2026-06-29",1923,"2026-06-22",30,1.56,"+30"
"AfD-Fraktion Dresden",8526,"2026-06-29",8510,"2026-06-22",16,0.19,"+16"
"AfD Dresden",8999,"2026-06-29",9003,"2026-06-22",-4,-0.04,"-4"
"AfD Meißen",18339,"2026-06-29",18346,"2026-06-22",-7,-0.04,"-7"
"AfD-Fraktion im Kreistag Meißen",5393,"2026-06-29",5393,"2026-06-22",0,0,"0"
"AfD Stadtratsfraktion Meißen",3909,"2026-06-29",3909,"2026-06-22",0,0,"0"
"AfD-Freundeskreis Meißen",1371,"2026-06-29",1373,"2026-06-22",-2,-0.15,"-2"
"AfD Mittelsachsen",3748,"2026-06-29",3750,"2026-06-22",-2,-0.05,"-2"
"AfD Kreisverband Nordsachsen",3406,"2026-06-29",3404,"2026-06-22",2,0.06,"+2"
"AfD-Fraktion Leipzig",9281,"2026-06-29",9268,"2026-06-22",13,0.14,"+13"
"AfD Leipzig",8359,"2026-06-29",8362,"2026-06-22",-3,-0.04,"-3"
"AfD-Kreisverband Landkreis Leipzig",7856,"2026-06-29",7846,"2026-06-22",10,0.13,"+10"
"AfD Zwickau",14265,"2026-06-29",14246,"2026-06-22",19,0.13,"+19"
"AfD - Stadtratsfraktion Chemnitz",5049,"2026-06-29",4986,"2026-06-22",63,1.26,"+63"
"AfD Kreisverband Chemnitz",19425,"2026-06-29",19431,"2026-06-22",-6,-0.03,"-6"
"AfD Erzgebirge",9226,"2026-06-29",9227,"2026-06-22",-1,-0.01,"-1"
"AfD Vogtland",4813,"2026-06-29",4809,"2026-06-22",4,0.08,"+4"
"AfD Kreisverband Eichsfeld",5916,"2026-06-29",5921,"2026-06-22",-5,-0.08,"-5"
"AfD Erfurt",9173,"2026-06-29",9102,"2026-06-22",71,0.78,"+71"
"AfD Gera",9450,"2026-06-29",9415,"2026-06-22",35,0.37,"+35"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-06-29",464,"2026-06-22",NA,100,"0"
"AfD Gera Jena SHK",8412,"2026-06-29",8413,"2026-06-22",-1,-0.01,"-1"
"AfD Kreistagsfraktion Ahrweiler",5968,"2026-06-29",5970,"2026-06-22",-2,-0.03,"-2"
"AfD Kreisverband Ahrweiler",5881,"2026-06-29",5886,"2026-06-22",-5,-0.08,"-5"
"AfD Alzey-Worms",4724,"2026-06-29",4718,"2026-06-22",6,0.13,"+6"
"AfD Kreistagsfraktion Alzey-Worms",3177,"2026-06-29",3174,"2026-06-22",3,0.09,"+3"
"AfD Kreisverband Bad Dürkheim",6388,"2026-06-29",6390,"2026-06-22",-2,-0.03,"-2"
"AfD-Fraktion im Kreistag Bad Dürkheim",6642,"2026-06-29",6641,"2026-06-22",1,0.02,"+1"
"AfD Kreisverband Bad Kreuznach",4320,"2026-06-29",4323,"2026-06-22",-3,-0.07,"-3"
"AfD-Fraktion Stadtrat Bad Kreuznach",5780,"2026-06-29",5786,"2026-06-22",-6,-0.1,"-6"
"AfD Bernkastel-Wittlich",9203,"2026-06-29",9174,"2026-06-22",29,0.32,"+29"
