"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",NA,"2026-08-31",1803,"2026-08-24",NA,100,"0"
"AfD-Fraktion Bautzen",NA,"2026-08-31",5488,"2026-08-24",NA,100,"0"
"AfD Görlitz",NA,"2026-08-31",5674,"2026-08-24",NA,100,"0"
"AfD-Fraktion im Kreistag Görlitz",NA,"2026-08-31",5871,"2026-08-24",NA,100,"0"
"AfD für den Landkreis Görlitz",NA,"2026-08-31",6007,"2026-08-24",NA,100,"0"
"AfD SOE",NA,"2026-08-31",5987,"2026-08-24",NA,100,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",NA,"2026-08-31",5987,"2026-08-24",NA,100,"0"
"AfD-Regionalgruppe Sächsische Schweiz",NA,"2026-08-31",2052,"2026-08-24",NA,100,"0"
"AfD-Fraktion Dresden",NA,"2026-08-31",8542,"2026-08-24",NA,100,"0"
"AfD Dresden",NA,"2026-08-31",9019,"2026-08-24",NA,100,"0"
"AfD Meißen",NA,"2026-08-31",18290,"2026-08-24",NA,100,"0"
"AfD-Fraktion im Kreistag Meißen",NA,"2026-08-31",5369,"2026-08-24",NA,100,"0"
"AfD Stadtratsfraktion Meißen",NA,"2026-08-31",3908,"2026-08-24",NA,100,"0"
"AfD-Freundeskreis Meißen",NA,"2026-08-31",1367,"2026-08-24",NA,100,"0"
"AfD Mittelsachsen",NA,"2026-08-31",3742,"2026-08-24",NA,100,"0"
"AfD Kreisverband Nordsachsen",NA,"2026-08-31",3403,"2026-08-24",NA,100,"0"
"AfD-Fraktion Leipzig",NA,"2026-08-31",9374,"2026-08-24",NA,100,"0"
"AfD Leipzig",NA,"2026-08-31",8337,"2026-08-24",NA,100,"0"
"AfD-Kreisverband Landkreis Leipzig",NA,"2026-08-31",7834,"2026-08-24",NA,100,"0"
"AfD Zwickau",NA,"2026-08-31",14265,"2026-08-24",NA,100,"0"
"AfD - Stadtratsfraktion Chemnitz",NA,"2026-08-31",5131,"2026-08-24",NA,100,"0"
"AfD Kreisverband Chemnitz",NA,"2026-08-31",19403,"2026-08-24",NA,100,"0"
"AfD Erzgebirge",NA,"2026-08-31",9214,"2026-08-24",NA,100,"0"
"AfD Vogtland",NA,"2026-08-31",4805,"2026-08-24",NA,100,"0"
"AfD Kreisverband Eichsfeld",NA,"2026-08-31",5933,"2026-08-24",NA,100,"0"
"AfD Erfurt",NA,"2026-08-31",10118,"2026-08-24",NA,100,"0"
"AfD Gera",NA,"2026-08-31",9554,"2026-08-24",NA,100,"0"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-08-31",467,"2026-08-24",NA,100,"0"
"AfD Gera Jena SHK",NA,"2026-08-31",8370,"2026-08-24",NA,100,"0"
"AfD Kreistagsfraktion Ahrweiler",NA,"2026-08-31",5954,"2026-08-24",NA,100,"0"
"AfD Kreisverband Ahrweiler",NA,"2026-08-31",5922,"2026-08-24",NA,100,"0"
"AfD Alzey-Worms",NA,"2026-08-31",4859,"2026-08-24",NA,100,"0"
"AfD Kreistagsfraktion Alzey-Worms",NA,"2026-08-31",3173,"2026-08-24",NA,100,"0"
"AfD Kreisverband Bad Dürkheim",NA,"2026-08-31",6371,"2026-08-24",NA,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-08-31",6612,"2026-08-24",NA,100,"0"
"AfD Kreisverband Bad Kreuznach",NA,"2026-08-31",4539,"2026-08-24",NA,100,"0"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-08-31",5748,"2026-08-24",NA,100,"0"
"AfD Bernkastel-Wittlich",NA,"2026-08-31",10056,"2026-08-24",NA,100,"0"
