"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1537,"2026-05-11",1507,"2026-05-04",30,1.99,"+30"
"AfD-Fraktion Bautzen",NA,"2026-05-11",5540,"2026-05-04",NA,100,"0"
"AfD Görlitz",5627,"2026-05-11",5623,"2026-05-04",4,0.07,"+4"
"AfD-Fraktion im Kreistag Görlitz",5919,"2026-05-11",5919,"2026-05-04",0,0,"0"
"AfD für den Landkreis Görlitz",6059,"2026-05-11",6059,"2026-05-04",0,0,"0"
"AfD SOE",5947,"2026-05-11",5911,"2026-05-04",36,0.61,"+36"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5947,"2026-05-11",5911,"2026-05-04",36,0.61,"+36"
"AfD-Regionalgruppe Sächsische Schweiz",1874,"2026-05-11",1876,"2026-05-04",-2,-0.11,"-2"
"AfD-Fraktion Dresden",8416,"2026-05-11",8412,"2026-05-04",4,0.05,"+4"
"AfD Dresden",8986,"2026-05-11",8971,"2026-05-04",15,0.17,"+15"
"AfD Meißen",18263,"2026-05-11",18220,"2026-05-04",43,0.24,"+43"
"AfD-Fraktion im Kreistag Meißen",5385,"2026-05-11",5362,"2026-05-04",23,0.43,"+23"
"AfD Stadtratsfraktion Meißen",3885,"2026-05-11",3886,"2026-05-04",-1,-0.03,"-1"
"AfD-Freundeskreis Meißen",NA,"2026-05-11",1377,"2026-05-04",NA,100,"0"
"AfD Mittelsachsen",3681,"2026-05-11",3682,"2026-05-04",-1,-0.03,"-1"
"AfD Kreisverband Nordsachsen",3294,"2026-05-11",3278,"2026-05-04",16,0.49,"+16"
"AfD-Fraktion Leipzig",9267,"2026-05-11",9258,"2026-05-04",9,0.1,"+9"
"AfD Leipzig",8288,"2026-05-11",8272,"2026-05-04",16,0.19,"+16"
"AfD-Kreisverband Landkreis Leipzig",7791,"2026-05-11",7793,"2026-05-04",-2,-0.03,"-2"
"AfD Zwickau",14252,"2026-05-11",14249,"2026-05-04",3,0.02,"+3"
"AfD - Stadtratsfraktion Chemnitz",4930,"2026-05-11",4912,"2026-05-04",18,0.37,"+18"
"AfD Kreisverband Chemnitz",19232,"2026-05-11",19232,"2026-05-04",0,0,"0"
"AfD Erzgebirge",9143,"2026-05-11",9106,"2026-05-04",37,0.41,"+37"
"AfD Vogtland",4723,"2026-05-11",4702,"2026-05-04",21,0.45,"+21"
"AfD Kreisverband Eichsfeld",5866,"2026-05-11",5855,"2026-05-04",11,0.19,"+11"
"AfD Erfurt",8795,"2026-05-11",8791,"2026-05-04",4,0.05,"+4"
"AfD Gera",9328,"2026-05-11",9332,"2026-05-04",-4,-0.04,"-4"
"AfD-Fraktion im Geraer Stadtrat",467,"2026-05-11",465,"2026-05-04",2,0.43,"+2"
"AfD Gera Jena SHK",8438,"2026-05-11",8446,"2026-05-04",-8,-0.09,"-8"
"AfD Kreistagsfraktion Ahrweiler",5988,"2026-05-11",5986,"2026-05-04",2,0.03,"+2"
"AfD Kreisverband Ahrweiler",5758,"2026-05-11",5681,"2026-05-04",77,1.36,"+77"
"AfD Alzey-Worms",4670,"2026-05-11",4661,"2026-05-04",9,0.19,"+9"
"AfD Kreistagsfraktion Alzey-Worms",3178,"2026-05-11",3179,"2026-05-04",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",6391,"2026-05-11",6389,"2026-05-04",2,0.03,"+2"
"AfD-Fraktion im Kreistag Bad Dürkheim",6665,"2026-05-11",6668,"2026-05-04",-3,-0.04,"-3"
"AfD Kreisverband Bad Kreuznach",4229,"2026-05-11",4177,"2026-05-04",52,1.24,"+52"
"AfD-Fraktion Stadtrat Bad Kreuznach",5812,"2026-05-11",5816,"2026-05-04",-4,-0.07,"-4"
"AfD Bernkastel-Wittlich",8977,"2026-05-11",8978,"2026-05-04",-1,-0.01,"-1"
