"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1547,"2026-05-18",1537,"2026-05-11",10,0.65,"+10"
"AfD-Fraktion Bautzen",5539,"2026-05-18",NA,"2026-05-11",5539,100,"0"
"AfD Görlitz",5664,"2026-05-18",5627,"2026-05-11",37,0.66,"+37"
"AfD-Fraktion im Kreistag Görlitz",5916,"2026-05-18",5919,"2026-05-11",-3,-0.05,"-3"
"AfD für den Landkreis Görlitz",6055,"2026-05-18",6059,"2026-05-11",-4,-0.07,"-4"
"AfD SOE",5990,"2026-05-18",5947,"2026-05-11",43,0.72,"+43"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5990,"2026-05-18",5947,"2026-05-11",43,0.72,"+43"
"AfD-Regionalgruppe Sächsische Schweiz",1880,"2026-05-18",1874,"2026-05-11",6,0.32,"+6"
"AfD-Fraktion Dresden",8416,"2026-05-18",8416,"2026-05-11",0,0,"0"
"AfD Dresden",9002,"2026-05-18",8986,"2026-05-11",16,0.18,"+16"
"AfD Meißen",18269,"2026-05-18",18263,"2026-05-11",6,0.03,"+6"
"AfD-Fraktion im Kreistag Meißen",5405,"2026-05-18",5385,"2026-05-11",20,0.37,"+20"
"AfD Stadtratsfraktion Meißen",3887,"2026-05-18",3885,"2026-05-11",2,0.05,"+2"
"AfD-Freundeskreis Meißen",1375,"2026-05-18",NA,"2026-05-11",1375,100,"0"
"AfD Mittelsachsen",3680,"2026-05-18",3681,"2026-05-11",-1,-0.03,"-1"
"AfD Kreisverband Nordsachsen",3328,"2026-05-18",3294,"2026-05-11",34,1.03,"+34"
"AfD-Fraktion Leipzig",9267,"2026-05-18",9267,"2026-05-11",0,0,"0"
"AfD Leipzig",8340,"2026-05-18",8288,"2026-05-11",52,0.63,"+52"
"AfD-Kreisverband Landkreis Leipzig",7798,"2026-05-18",7791,"2026-05-11",7,0.09,"+7"
"AfD Zwickau",14257,"2026-05-18",14252,"2026-05-11",5,0.04,"+5"
"AfD - Stadtratsfraktion Chemnitz",4927,"2026-05-18",4930,"2026-05-11",-3,-0.06,"-3"
"AfD Kreisverband Chemnitz",19254,"2026-05-18",19232,"2026-05-11",22,0.11,"+22"
"AfD Erzgebirge",9199,"2026-05-18",9143,"2026-05-11",56,0.61,"+56"
"AfD Vogtland",4753,"2026-05-18",4723,"2026-05-11",30,0.64,"+30"
"AfD Kreisverband Eichsfeld",5896,"2026-05-18",5866,"2026-05-11",30,0.51,"+30"
"AfD Erfurt",8798,"2026-05-18",8795,"2026-05-11",3,0.03,"+3"
"AfD Gera",9339,"2026-05-18",9328,"2026-05-11",11,0.12,"+11"
"AfD-Fraktion im Geraer Stadtrat",467,"2026-05-18",467,"2026-05-11",0,0,"0"
"AfD Gera Jena SHK",8433,"2026-05-18",8438,"2026-05-11",-5,-0.06,"-5"
"AfD Kreistagsfraktion Ahrweiler",NA,"2026-05-18",5988,"2026-05-11",NA,100,"0"
"AfD Kreisverband Ahrweiler",5785,"2026-05-18",5758,"2026-05-11",27,0.47,"+27"
"AfD Alzey-Worms",4690,"2026-05-18",4670,"2026-05-11",20,0.43,"+20"
"AfD Kreistagsfraktion Alzey-Worms",3177,"2026-05-18",3178,"2026-05-11",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",6404,"2026-05-18",6391,"2026-05-11",13,0.2,"+13"
"AfD-Fraktion im Kreistag Bad Dürkheim",6661,"2026-05-18",6665,"2026-05-11",-4,-0.06,"-4"
"AfD Kreisverband Bad Kreuznach",4246,"2026-05-18",4229,"2026-05-11",17,0.4,"+17"
"AfD-Fraktion Stadtrat Bad Kreuznach",5807,"2026-05-18",5812,"2026-05-11",-5,-0.09,"-5"
"AfD Bernkastel-Wittlich",8988,"2026-05-18",8977,"2026-05-11",11,0.12,"+11"
