"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1736,"2026-06-08",1634,"2026-06-01",102,6.24,"+102"
"AfD-Fraktion Bautzen",5524,"2026-06-08",5528,"2026-06-01",-4,-0.07,"-4"
"AfD Görlitz",5682,"2026-06-08",5677,"2026-06-01",5,0.09,"+5"
"AfD-Fraktion im Kreistag Görlitz",5905,"2026-06-08",5908,"2026-06-01",-3,-0.05,"-3"
"AfD für den Landkreis Görlitz",6041,"2026-06-08",6044,"2026-06-01",-3,-0.05,"-3"
"AfD SOE",6020,"2026-06-08",6010,"2026-06-01",10,0.17,"+10"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6020,"2026-06-08",6010,"2026-06-01",10,0.17,"+10"
"AfD-Regionalgruppe Sächsische Schweiz",1897,"2026-06-08",1887,"2026-06-01",10,0.53,"+10"
"AfD-Fraktion Dresden",8472,"2026-06-08",8458,"2026-06-01",14,0.17,"+14"
"AfD Dresden",9011,"2026-06-08",9013,"2026-06-01",-2,-0.02,"-2"
"AfD Meißen",18360,"2026-06-08",18284,"2026-06-01",76,0.42,"+76"
"AfD-Fraktion im Kreistag Meißen",5405,"2026-06-08",5408,"2026-06-01",-3,-0.06,"-3"
"AfD Stadtratsfraktion Meißen",3907,"2026-06-08",3901,"2026-06-01",6,0.15,"+6"
"AfD-Freundeskreis Meißen",1373,"2026-06-08",1374,"2026-06-01",-1,-0.07,"-1"
"AfD Mittelsachsen",3723,"2026-06-08",3681,"2026-06-01",42,1.14,"+42"
"AfD Kreisverband Nordsachsen",3408,"2026-06-08",3381,"2026-06-01",27,0.8,"+27"
"AfD-Fraktion Leipzig",9266,"2026-06-08",9272,"2026-06-01",-6,-0.06,"-6"
"AfD Leipzig",8368,"2026-06-08",8363,"2026-06-01",5,0.06,"+5"
"AfD-Kreisverband Landkreis Leipzig",7799,"2026-06-08",7790,"2026-06-01",9,0.12,"+9"
"AfD Zwickau",14255,"2026-06-08",14248,"2026-06-01",7,0.05,"+7"
"AfD - Stadtratsfraktion Chemnitz",4959,"2026-06-08",4927,"2026-06-01",32,0.65,"+32"
"AfD Kreisverband Chemnitz",19425,"2026-06-08",19385,"2026-06-01",40,0.21,"+40"
"AfD Erzgebirge",9207,"2026-06-08",9203,"2026-06-01",4,0.04,"+4"
"AfD Vogtland",4792,"2026-06-08",4777,"2026-06-01",15,0.31,"+15"
"AfD Kreisverband Eichsfeld",5932,"2026-06-08",5921,"2026-06-01",11,0.19,"+11"
"AfD Erfurt",8990,"2026-06-08",8858,"2026-06-01",132,1.49,"+132"
"AfD Gera",9390,"2026-06-08",9372,"2026-06-01",18,0.19,"+18"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-06-08",463,"2026-06-01",1,0.22,"+1"
"AfD Gera Jena SHK",8427,"2026-06-08",8424,"2026-06-01",3,0.04,"+3"
"AfD Kreistagsfraktion Ahrweiler",5977,"2026-06-08",5980,"2026-06-01",-3,-0.05,"-3"
"AfD Kreisverband Ahrweiler",5889,"2026-06-08",5853,"2026-06-01",36,0.62,"+36"
"AfD Alzey-Worms",4718,"2026-06-08",4701,"2026-06-01",17,0.36,"+17"
"AfD Kreistagsfraktion Alzey-Worms",3178,"2026-06-08",3179,"2026-06-01",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",NA,"2026-06-08",6399,"2026-06-01",NA,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6647,"2026-06-08",6650,"2026-06-01",-3,-0.05,"-3"
"AfD Kreisverband Bad Kreuznach",4320,"2026-06-08",4300,"2026-06-01",20,0.47,"+20"
"AfD-Fraktion Stadtrat Bad Kreuznach",5792,"2026-06-08",NA,"2026-06-01",5792,100,"0"
"AfD Bernkastel-Wittlich",8975,"2026-06-08",8971,"2026-06-01",4,0.04,"+4"
