"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1634,"2026-06-01",NA,"2026-05-25",1634,100,"0"
"AfD-Fraktion Bautzen",5528,"2026-06-01",5534,"2026-05-25",-6,-0.11,"-6"
"AfD Görlitz",5677,"2026-06-01",5670,"2026-05-25",7,0.12,"+7"
"AfD-Fraktion im Kreistag Görlitz",5908,"2026-06-01",5912,"2026-05-25",-4,-0.07,"-4"
"AfD für den Landkreis Görlitz",6044,"2026-06-01",6048,"2026-05-25",-4,-0.07,"-4"
"AfD SOE",6010,"2026-06-01",NA,"2026-05-25",6010,100,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6010,"2026-06-01",6003,"2026-05-25",7,0.12,"+7"
"AfD-Regionalgruppe Sächsische Schweiz",1887,"2026-06-01",1883,"2026-05-25",4,0.21,"+4"
"AfD-Fraktion Dresden",8458,"2026-06-01",8434,"2026-05-25",24,0.28,"+24"
"AfD Dresden",9013,"2026-06-01",9011,"2026-05-25",2,0.02,"+2"
"AfD Meißen",18284,"2026-06-01",18284,"2026-05-25",0,0,"0"
"AfD-Fraktion im Kreistag Meißen",5408,"2026-06-01",5404,"2026-05-25",4,0.07,"+4"
"AfD Stadtratsfraktion Meißen",3901,"2026-06-01",3889,"2026-05-25",12,0.31,"+12"
"AfD-Freundeskreis Meißen",1374,"2026-06-01",1374,"2026-05-25",0,0,"0"
"AfD Mittelsachsen",3681,"2026-06-01",3681,"2026-05-25",0,0,"0"
"AfD Kreisverband Nordsachsen",3381,"2026-06-01",3362,"2026-05-25",19,0.57,"+19"
"AfD-Fraktion Leipzig",9272,"2026-06-01",9269,"2026-05-25",3,0.03,"+3"
"AfD Leipzig",8363,"2026-06-01",8344,"2026-05-25",19,0.23,"+19"
"AfD-Kreisverband Landkreis Leipzig",7790,"2026-06-01",7795,"2026-05-25",-5,-0.06,"-5"
"AfD Zwickau",14248,"2026-06-01",14254,"2026-05-25",-6,-0.04,"-6"
"AfD - Stadtratsfraktion Chemnitz",4927,"2026-06-01",4926,"2026-05-25",1,0.02,"+1"
"AfD Kreisverband Chemnitz",19385,"2026-06-01",19361,"2026-05-25",24,0.12,"+24"
"AfD Erzgebirge",9203,"2026-06-01",9202,"2026-05-25",1,0.01,"+1"
"AfD Vogtland",4777,"2026-06-01",4773,"2026-05-25",4,0.08,"+4"
"AfD Kreisverband Eichsfeld",5921,"2026-06-01",5917,"2026-05-25",4,0.07,"+4"
"AfD Erfurt",8858,"2026-06-01",8837,"2026-05-25",21,0.24,"+21"
"AfD Gera",9372,"2026-06-01",9351,"2026-05-25",21,0.22,"+21"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-06-01",464,"2026-05-25",-1,-0.22,"-1"
"AfD Gera Jena SHK",8424,"2026-06-01",8425,"2026-05-25",-1,-0.01,"-1"
"AfD Kreistagsfraktion Ahrweiler",5980,"2026-06-01",5983,"2026-05-25",-3,-0.05,"-3"
"AfD Kreisverband Ahrweiler",5853,"2026-06-01",5828,"2026-05-25",25,0.43,"+25"
"AfD Alzey-Worms",4701,"2026-06-01",4693,"2026-05-25",8,0.17,"+8"
"AfD Kreistagsfraktion Alzey-Worms",3179,"2026-06-01",3178,"2026-05-25",1,0.03,"+1"
"AfD Kreisverband Bad Dürkheim",6399,"2026-06-01",6400,"2026-05-25",-1,-0.02,"-1"
"AfD-Fraktion im Kreistag Bad Dürkheim",6650,"2026-06-01",6654,"2026-05-25",-4,-0.06,"-4"
"AfD Kreisverband Bad Kreuznach",4300,"2026-06-01",4284,"2026-05-25",16,0.37,"+16"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-06-01",5800,"2026-05-25",NA,100,"0"
"AfD Bernkastel-Wittlich",8971,"2026-06-01",8982,"2026-05-25",-11,-0.12,"-11"
