"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1744,"2026-06-22",1741,"2026-06-15",3,0.17,"+3"
"AfD-Fraktion Bautzen",5516,"2026-06-22",5522,"2026-06-15",-6,-0.11,"-6"
"AfD Görlitz",5679,"2026-06-22",5680,"2026-06-15",-1,-0.02,"-1"
"AfD-Fraktion im Kreistag Görlitz",5897,"2026-06-22",5902,"2026-06-15",-5,-0.08,"-5"
"AfD für den Landkreis Görlitz",6034,"2026-06-22",6040,"2026-06-15",-6,-0.1,"-6"
"AfD SOE",6014,"2026-06-22",6025,"2026-06-15",-11,-0.18,"-11"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6014,"2026-06-22",6025,"2026-06-15",-11,-0.18,"-11"
"AfD-Regionalgruppe Sächsische Schweiz",1923,"2026-06-22",1910,"2026-06-15",13,0.68,"+13"
"AfD-Fraktion Dresden",8510,"2026-06-22",8483,"2026-06-15",27,0.32,"+27"
"AfD Dresden",9003,"2026-06-22",9010,"2026-06-15",-7,-0.08,"-7"
"AfD Meißen",18346,"2026-06-22",18359,"2026-06-15",-13,-0.07,"-13"
"AfD-Fraktion im Kreistag Meißen",5393,"2026-06-22",5402,"2026-06-15",-9,-0.17,"-9"
"AfD Stadtratsfraktion Meißen",3909,"2026-06-22",3905,"2026-06-15",4,0.1,"+4"
"AfD-Freundeskreis Meißen",1373,"2026-06-22",1373,"2026-06-15",0,0,"0"
"AfD Mittelsachsen",3750,"2026-06-22",3750,"2026-06-15",0,0,"0"
"AfD Kreisverband Nordsachsen",3404,"2026-06-22",3409,"2026-06-15",-5,-0.15,"-5"
"AfD-Fraktion Leipzig",9268,"2026-06-22",9270,"2026-06-15",-2,-0.02,"-2"
"AfD Leipzig",8362,"2026-06-22",8366,"2026-06-15",-4,-0.05,"-4"
"AfD-Kreisverband Landkreis Leipzig",7846,"2026-06-22",7850,"2026-06-15",-4,-0.05,"-4"
"AfD Zwickau",14246,"2026-06-22",14251,"2026-06-15",-5,-0.04,"-5"
"AfD - Stadtratsfraktion Chemnitz",4986,"2026-06-22",4984,"2026-06-15",2,0.04,"+2"
"AfD Kreisverband Chemnitz",19431,"2026-06-22",19438,"2026-06-15",-7,-0.04,"-7"
"AfD Erzgebirge",9227,"2026-06-22",9227,"2026-06-15",0,0,"0"
"AfD Vogtland",4809,"2026-06-22",4808,"2026-06-15",1,0.02,"+1"
"AfD Kreisverband Eichsfeld",5921,"2026-06-22",5928,"2026-06-15",-7,-0.12,"-7"
"AfD Erfurt",9102,"2026-06-22",9065,"2026-06-15",37,0.41,"+37"
"AfD Gera",9415,"2026-06-22",9406,"2026-06-15",9,0.1,"+9"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-06-22",464,"2026-06-15",0,0,"0"
"AfD Gera Jena SHK",8413,"2026-06-22",8425,"2026-06-15",-12,-0.14,"-12"
"AfD Kreistagsfraktion Ahrweiler",5970,"2026-06-22",5974,"2026-06-15",-4,-0.07,"-4"
"AfD Kreisverband Ahrweiler",5886,"2026-06-22",5896,"2026-06-15",-10,-0.17,"-10"
"AfD Alzey-Worms",4718,"2026-06-22",4722,"2026-06-15",-4,-0.08,"-4"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-06-22",3176,"2026-06-15",-2,-0.06,"-2"
"AfD Kreisverband Bad Dürkheim",6390,"2026-06-22",6395,"2026-06-15",-5,-0.08,"-5"
"AfD-Fraktion im Kreistag Bad Dürkheim",6641,"2026-06-22",6645,"2026-06-15",-4,-0.06,"-4"
"AfD Kreisverband Bad Kreuznach",4323,"2026-06-22",4327,"2026-06-15",-4,-0.09,"-4"
"AfD-Fraktion Stadtrat Bad Kreuznach",5786,"2026-06-22",5792,"2026-06-15",-6,-0.1,"-6"
"AfD Bernkastel-Wittlich",9174,"2026-06-22",8989,"2026-06-15",185,2.06,"+185"
