"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1803,"2026-08-24",1772,"2026-08-17",31,1.75,"+31"
"AfD-Fraktion Bautzen",5488,"2026-08-24",5495,"2026-08-17",-7,-0.13,"-7"
"AfD Görlitz",5674,"2026-08-24",5670,"2026-08-17",4,0.07,"+4"
"AfD-Fraktion im Kreistag Görlitz",5871,"2026-08-24",5878,"2026-08-17",-7,-0.12,"-7"
"AfD für den Landkreis Görlitz",6007,"2026-08-24",6010,"2026-08-17",-3,-0.05,"-3"
"AfD SOE",5987,"2026-08-24",5992,"2026-08-17",-5,-0.08,"-5"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5987,"2026-08-24",5992,"2026-08-17",-5,-0.08,"-5"
"AfD-Regionalgruppe Sächsische Schweiz",2052,"2026-08-24",2039,"2026-08-17",13,0.64,"+13"
"AfD-Fraktion Dresden",8542,"2026-08-24",8536,"2026-08-17",6,0.07,"+6"
"AfD Dresden",9019,"2026-08-24",9025,"2026-08-17",-6,-0.07,"-6"
"AfD Meißen",18290,"2026-08-24",18298,"2026-08-17",-8,-0.04,"-8"
"AfD-Fraktion im Kreistag Meißen",5369,"2026-08-24",5371,"2026-08-17",-2,-0.04,"-2"
"AfD Stadtratsfraktion Meißen",3908,"2026-08-24",3911,"2026-08-17",-3,-0.08,"-3"
"AfD-Freundeskreis Meißen",1367,"2026-08-24",1369,"2026-08-17",-2,-0.15,"-2"
"AfD Mittelsachsen",3742,"2026-08-24",3741,"2026-08-17",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",3403,"2026-08-24",3402,"2026-08-17",1,0.03,"+1"
"AfD-Fraktion Leipzig",9374,"2026-08-24",9375,"2026-08-17",-1,-0.01,"-1"
"AfD Leipzig",8337,"2026-08-24",8341,"2026-08-17",-4,-0.05,"-4"
"AfD-Kreisverband Landkreis Leipzig",7834,"2026-08-24",7840,"2026-08-17",-6,-0.08,"-6"
"AfD Zwickau",14265,"2026-08-24",14269,"2026-08-17",-4,-0.03,"-4"
"AfD - Stadtratsfraktion Chemnitz",5131,"2026-08-24",5126,"2026-08-17",5,0.1,"+5"
"AfD Kreisverband Chemnitz",19403,"2026-08-24",19410,"2026-08-17",-7,-0.04,"-7"
"AfD Erzgebirge",9214,"2026-08-24",9220,"2026-08-17",-6,-0.07,"-6"
"AfD Vogtland",4805,"2026-08-24",4810,"2026-08-17",-5,-0.1,"-5"
"AfD Kreisverband Eichsfeld",5933,"2026-08-24",5925,"2026-08-17",8,0.14,"+8"
"AfD Erfurt",10118,"2026-08-24",10033,"2026-08-17",85,0.85,"+85"
"AfD Gera",9554,"2026-08-24",9542,"2026-08-17",12,0.13,"+12"
"AfD-Fraktion im Geraer Stadtrat",467,"2026-08-24",466,"2026-08-17",1,0.21,"+1"
"AfD Gera Jena SHK",8370,"2026-08-24",8379,"2026-08-17",-9,-0.11,"-9"
"AfD Kreistagsfraktion Ahrweiler",5954,"2026-08-24",5955,"2026-08-17",-1,-0.02,"-1"
"AfD Kreisverband Ahrweiler",5922,"2026-08-24",5885,"2026-08-17",37,0.63,"+37"
"AfD Alzey-Worms",4859,"2026-08-24",4855,"2026-08-17",4,0.08,"+4"
"AfD Kreistagsfraktion Alzey-Worms",3173,"2026-08-24",3174,"2026-08-17",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",6371,"2026-08-24",6371,"2026-08-17",0,0,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6612,"2026-08-24",6616,"2026-08-17",-4,-0.06,"-4"
"AfD Kreisverband Bad Kreuznach",4539,"2026-08-24",4527,"2026-08-17",12,0.27,"+12"
"AfD-Fraktion Stadtrat Bad Kreuznach",5748,"2026-08-24",5754,"2026-08-17",-6,-0.1,"-6"
"AfD Bernkastel-Wittlich",10056,"2026-08-24",10009,"2026-08-17",47,0.47,"+47"
