"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",NA,"2026-03-09",1355,"2026-03-02",NA,100,"0"
"AfD-Fraktion Bautzen",5539,"2026-03-09",5547,"2026-03-02",-8,-0.14,"-8"
"AfD Görlitz",NA,"2026-03-09",5619,"2026-03-02",NA,100,"0"
"AfD-Fraktion im Kreistag Görlitz",5928,"2026-03-09",5921,"2026-03-02",7,0.12,"+7"
"AfD für den Landkreis Görlitz",6100,"2026-03-09",6108,"2026-03-02",-8,-0.13,"-8"
"AfD SOE",5752,"2026-03-09",5762,"2026-03-02",-10,-0.17,"-10"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5752,"2026-03-09",5762,"2026-03-02",-10,-0.17,"-10"
"AfD-Regionalgruppe Sächsische Schweiz",1713,"2026-03-09",1713,"2026-03-02",0,0,"0"
"AfD-Fraktion Dresden",NA,"2026-03-09",8259,"2026-03-02",NA,100,"0"
"AfD Dresden",8910,"2026-03-09",8916,"2026-03-02",-6,-0.07,"-6"
"AfD Meißen",17919,"2026-03-09",17931,"2026-03-02",-12,-0.07,"-12"
"AfD-Fraktion im Kreistag Meißen",5356,"2026-03-09",5366,"2026-03-02",-10,-0.19,"-10"
"AfD Stadtratsfraktion Meißen",3707,"2026-03-09",3705,"2026-03-02",2,0.05,"+2"
"AfD-Freundeskreis Meißen",1376,"2026-03-09",1376,"2026-03-02",0,0,"0"
"AfD Mittelsachsen",3686,"2026-03-09",3690,"2026-03-02",-4,-0.11,"-4"
"AfD Kreisverband Nordsachsen",2983,"2026-03-09",2987,"2026-03-02",-4,-0.13,"-4"
"AfD-Fraktion Leipzig",9195,"2026-03-09",9196,"2026-03-02",-1,-0.01,"-1"
"AfD Leipzig",8286,"2026-03-09",8293,"2026-03-02",-7,-0.08,"-7"
"AfD-Kreisverband Landkreis Leipzig",7780,"2026-03-09",7787,"2026-03-02",-7,-0.09,"-7"
"AfD Zwickau",14153,"2026-03-09",NA,"2026-03-02",14153,100,"0"
"AfD - Stadtratsfraktion Chemnitz",4852,"2026-03-09",4858,"2026-03-02",-6,-0.12,"-6"
"AfD Kreisverband Chemnitz",19221,"2026-03-09",19227,"2026-03-02",-6,-0.03,"-6"
"AfD Erzgebirge",8782,"2026-03-09",8774,"2026-03-02",8,0.09,"+8"
"AfD Vogtland",4526,"2026-03-09",4537,"2026-03-02",-11,-0.24,"-11"
"AfD Kreisverband Eichsfeld",5607,"2026-03-09",5610,"2026-03-02",-3,-0.05,"-3"
"AfD Erfurt",8536,"2026-03-09",NA,"2026-03-02",8536,100,"0"
"AfD Gera",9139,"2026-03-09",9127,"2026-03-02",12,0.13,"+12"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-03-09",NA,"2026-03-02",463,100,"0"
"AfD Gera Jena SHK",8503,"2026-03-09",8517,"2026-03-02",-14,-0.16,"-14"
"AfD Kreistagsfraktion Ahrweiler",6026,"2026-03-09",6032,"2026-03-02",-6,-0.1,"-6"
"AfD Kreisverband Ahrweiler",5375,"2026-03-09",5377,"2026-03-02",-2,-0.04,"-2"
"AfD Alzey-Worms",4490,"2026-03-09",4465,"2026-03-02",25,0.56,"+25"
"AfD Kreistagsfraktion Alzey-Worms",3173,"2026-03-09",3176,"2026-03-02",-3,-0.09,"-3"
"AfD Kreisverband Bad Dürkheim",6328,"2026-03-09",6333,"2026-03-02",-5,-0.08,"-5"
"AfD-Fraktion im Kreistag Bad Dürkheim",6717,"2026-03-09",6725,"2026-03-02",-8,-0.12,"-8"
"AfD Kreisverband Bad Kreuznach",3780,"2026-03-09",3695,"2026-03-02",85,2.3,"+85"
"AfD-Fraktion Stadtrat Bad Kreuznach",5847,"2026-03-09",5850,"2026-03-02",-3,-0.05,"-3"
"AfD Bernkastel-Wittlich",9009,"2026-03-09",9019,"2026-03-02",-10,-0.11,"-10"
