"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1358,"2026-02-23",1358,"2026-02-16",0,0,"0"
"AfD-Fraktion Bautzen",5552,"2026-02-23",5557,"2026-02-16",-5,-0.09,"-5"
"AfD Görlitz",5623,"2026-02-23",5625,"2026-02-16",-2,-0.04,"-2"
"AfD-Fraktion im Kreistag Görlitz",5923,"2026-02-23",5932,"2026-02-16",-9,-0.15,"-9"
"AfD für den Landkreis Görlitz",6114,"2026-02-23",6122,"2026-02-16",-8,-0.13,"-8"
"AfD SOE",NA,"2026-02-23",5768,"2026-02-16",NA,100,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5764,"2026-02-23",5768,"2026-02-16",-4,-0.07,"-4"
"AfD-Regionalgruppe Sächsische Schweiz",1713,"2026-02-23",1716,"2026-02-16",-3,-0.17,"-3"
"AfD-Fraktion Dresden",8259,"2026-02-23",8260,"2026-02-16",-1,-0.01,"-1"
"AfD Dresden",8920,"2026-02-23",8929,"2026-02-16",-9,-0.1,"-9"
"AfD Meißen",17938,"2026-02-23",17948,"2026-02-16",-10,-0.06,"-10"
"AfD-Fraktion im Kreistag Meißen",5369,"2026-02-23",5376,"2026-02-16",-7,-0.13,"-7"
"AfD Stadtratsfraktion Meißen",3686,"2026-02-23",3645,"2026-02-16",41,1.12,"+41"
"AfD-Freundeskreis Meißen",1377,"2026-02-23",1380,"2026-02-16",-3,-0.22,"-3"
"AfD Mittelsachsen",3694,"2026-02-23",3694,"2026-02-16",0,0,"0"
"AfD Kreisverband Nordsachsen",2983,"2026-02-23",2978,"2026-02-16",5,0.17,"+5"
"AfD-Fraktion Leipzig",9168,"2026-02-23",9160,"2026-02-16",8,0.09,"+8"
"AfD Leipzig",8296,"2026-02-23",8301,"2026-02-16",-5,-0.06,"-5"
"AfD-Kreisverband Landkreis Leipzig",7791,"2026-02-23",7791,"2026-02-16",0,0,"0"
"AfD Zwickau",14161,"2026-02-23",14157,"2026-02-16",4,0.03,"+4"
"AfD - Stadtratsfraktion Chemnitz",4859,"2026-02-23",4857,"2026-02-16",2,0.04,"+2"
"AfD Kreisverband Chemnitz",19238,"2026-02-23",19254,"2026-02-16",-16,-0.08,"-16"
"AfD Erzgebirge",8779,"2026-02-23",8790,"2026-02-16",-11,-0.13,"-11"
"AfD Vogtland",4539,"2026-02-23",4541,"2026-02-16",-2,-0.04,"-2"
"AfD Kreisverband Eichsfeld",5601,"2026-02-23",5597,"2026-02-16",4,0.07,"+4"
"AfD Erfurt",8465,"2026-02-23",8461,"2026-02-16",4,0.05,"+4"
"AfD Gera",9094,"2026-02-23",9073,"2026-02-16",21,0.23,"+21"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-02-23",463,"2026-02-16",0,0,"0"
"AfD Gera Jena SHK",8525,"2026-02-23",8542,"2026-02-16",-17,-0.2,"-17"
"AfD Kreistagsfraktion Ahrweiler",6036,"2026-02-23",6046,"2026-02-16",-10,-0.17,"-10"
"AfD Kreisverband Ahrweiler",5372,"2026-02-23",5368,"2026-02-16",4,0.07,"+4"
"AfD Alzey-Worms",4435,"2026-02-23",4382,"2026-02-16",53,1.21,"+53"
"AfD Kreistagsfraktion Alzey-Worms",3180,"2026-02-23",3182,"2026-02-16",-2,-0.06,"-2"
"AfD Kreisverband Bad Dürkheim",NA,"2026-02-23",6338,"2026-02-16",NA,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-02-23",6740,"2026-02-16",NA,100,"0"
"AfD Kreisverband Bad Kreuznach",3643,"2026-02-23",3635,"2026-02-16",8,0.22,"+8"
"AfD-Fraktion Stadtrat Bad Kreuznach",5857,"2026-02-23",5864,"2026-02-16",-7,-0.12,"-7"
"AfD Bernkastel-Wittlich",9000,"2026-02-23",8982,"2026-02-16",18,0.2,"+18"
