"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",NA,"2026-05-25",1547,"2026-05-18",NA,100,"0"
"AfD-Fraktion Bautzen",5534,"2026-05-25",5539,"2026-05-18",-5,-0.09,"-5"
"AfD Görlitz",5670,"2026-05-25",5664,"2026-05-18",6,0.11,"+6"
"AfD-Fraktion im Kreistag Görlitz",5912,"2026-05-25",5916,"2026-05-18",-4,-0.07,"-4"
"AfD für den Landkreis Görlitz",6048,"2026-05-25",6055,"2026-05-18",-7,-0.12,"-7"
"AfD SOE",NA,"2026-05-25",5990,"2026-05-18",NA,100,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6003,"2026-05-25",5990,"2026-05-18",13,0.22,"+13"
"AfD-Regionalgruppe Sächsische Schweiz",1883,"2026-05-25",1880,"2026-05-18",3,0.16,"+3"
"AfD-Fraktion Dresden",8434,"2026-05-25",8416,"2026-05-18",18,0.21,"+18"
"AfD Dresden",9011,"2026-05-25",9002,"2026-05-18",9,0.1,"+9"
"AfD Meißen",18284,"2026-05-25",18269,"2026-05-18",15,0.08,"+15"
"AfD-Fraktion im Kreistag Meißen",5404,"2026-05-25",5405,"2026-05-18",-1,-0.02,"-1"
"AfD Stadtratsfraktion Meißen",3889,"2026-05-25",3887,"2026-05-18",2,0.05,"+2"
"AfD-Freundeskreis Meißen",1374,"2026-05-25",1375,"2026-05-18",-1,-0.07,"-1"
"AfD Mittelsachsen",3681,"2026-05-25",3680,"2026-05-18",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",3362,"2026-05-25",3328,"2026-05-18",34,1.02,"+34"
"AfD-Fraktion Leipzig",9269,"2026-05-25",9267,"2026-05-18",2,0.02,"+2"
"AfD Leipzig",8344,"2026-05-25",8340,"2026-05-18",4,0.05,"+4"
"AfD-Kreisverband Landkreis Leipzig",7795,"2026-05-25",7798,"2026-05-18",-3,-0.04,"-3"
"AfD Zwickau",14254,"2026-05-25",14257,"2026-05-18",-3,-0.02,"-3"
"AfD - Stadtratsfraktion Chemnitz",4926,"2026-05-25",4927,"2026-05-18",-1,-0.02,"-1"
"AfD Kreisverband Chemnitz",19361,"2026-05-25",19254,"2026-05-18",107,0.56,"+107"
"AfD Erzgebirge",9202,"2026-05-25",9199,"2026-05-18",3,0.03,"+3"
"AfD Vogtland",4773,"2026-05-25",4753,"2026-05-18",20,0.42,"+20"
"AfD Kreisverband Eichsfeld",5917,"2026-05-25",5896,"2026-05-18",21,0.36,"+21"
"AfD Erfurt",8837,"2026-05-25",8798,"2026-05-18",39,0.44,"+39"
"AfD Gera",9351,"2026-05-25",9339,"2026-05-18",12,0.13,"+12"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-05-25",467,"2026-05-18",-3,-0.64,"-3"
"AfD Gera Jena SHK",8425,"2026-05-25",8433,"2026-05-18",-8,-0.09,"-8"
"AfD Kreistagsfraktion Ahrweiler",5983,"2026-05-25",NA,"2026-05-18",5983,100,"0"
"AfD Kreisverband Ahrweiler",5828,"2026-05-25",5785,"2026-05-18",43,0.74,"+43"
"AfD Alzey-Worms",4693,"2026-05-25",4690,"2026-05-18",3,0.06,"+3"
"AfD Kreistagsfraktion Alzey-Worms",3178,"2026-05-25",3177,"2026-05-18",1,0.03,"+1"
"AfD Kreisverband Bad Dürkheim",6400,"2026-05-25",6404,"2026-05-18",-4,-0.06,"-4"
"AfD-Fraktion im Kreistag Bad Dürkheim",6654,"2026-05-25",6661,"2026-05-18",-7,-0.11,"-7"
"AfD Kreisverband Bad Kreuznach",4284,"2026-05-25",4246,"2026-05-18",38,0.89,"+38"
"AfD-Fraktion Stadtrat Bad Kreuznach",5800,"2026-05-25",5807,"2026-05-18",-7,-0.12,"-7"
"AfD Bernkastel-Wittlich",8982,"2026-05-25",8988,"2026-05-18",-6,-0.07,"-6"
