"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1474,"2026-04-13",1471,"2026-04-06",3,0.2,"+3"
"AfD-Fraktion Bautzen",5540,"2026-04-13",5548,"2026-04-06",-8,-0.14,"-8"
"AfD Görlitz",5613,"2026-04-13",5614,"2026-04-06",-1,-0.02,"-1"
"AfD-Fraktion im Kreistag Görlitz",5929,"2026-04-13",5931,"2026-04-06",-2,-0.03,"-2"
"AfD für den Landkreis Görlitz",6081,"2026-04-13",6085,"2026-04-06",-4,-0.07,"-4"
"AfD SOE",5815,"2026-04-13",5769,"2026-04-06",46,0.8,"+46"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5815,"2026-04-13",5769,"2026-04-06",46,0.8,"+46"
"AfD-Regionalgruppe Sächsische Schweiz",1838,"2026-04-13",1827,"2026-04-06",11,0.6,"+11"
"AfD-Fraktion Dresden",8385,"2026-04-13",8373,"2026-04-06",12,0.14,"+12"
"AfD Dresden",8943,"2026-04-13",8938,"2026-04-06",5,0.06,"+5"
"AfD Meißen",18066,"2026-04-13",17963,"2026-04-06",103,0.57,"+103"
"AfD-Fraktion im Kreistag Meißen",5356,"2026-04-13",5350,"2026-04-06",6,0.11,"+6"
"AfD Stadtratsfraktion Meißen",3865,"2026-04-13",3870,"2026-04-06",-5,-0.13,"-5"
"AfD-Freundeskreis Meißen",1377,"2026-04-13",1377,"2026-04-06",0,0,"0"
"AfD Mittelsachsen",3680,"2026-04-13",3686,"2026-04-06",-6,-0.16,"-6"
"AfD Kreisverband Nordsachsen",3152,"2026-04-13",3105,"2026-04-06",47,1.51,"+47"
"AfD-Fraktion Leipzig",9258,"2026-04-13",9261,"2026-04-06",-3,-0.03,"-3"
"AfD Leipzig",8277,"2026-04-13",8273,"2026-04-06",4,0.05,"+4"
"AfD-Kreisverband Landkreis Leipzig",7775,"2026-04-13",7779,"2026-04-06",-4,-0.05,"-4"
"AfD Zwickau",14225,"2026-04-13",14227,"2026-04-06",-2,-0.01,"-2"
"AfD - Stadtratsfraktion Chemnitz",4876,"2026-04-13",4875,"2026-04-06",1,0.02,"+1"
"AfD Kreisverband Chemnitz",19237,"2026-04-13",19228,"2026-04-06",9,0.05,"+9"
"AfD Erzgebirge",8817,"2026-04-13",8798,"2026-04-06",19,0.22,"+19"
"AfD Vogtland",4649,"2026-04-13",4618,"2026-04-06",31,0.67,"+31"
"AfD Kreisverband Eichsfeld",5799,"2026-04-13",5737,"2026-04-06",62,1.08,"+62"
"AfD Erfurt",8788,"2026-04-13",8774,"2026-04-06",14,0.16,"+14"
"AfD Gera",9324,"2026-04-13",9319,"2026-04-06",5,0.05,"+5"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-04-13",464,"2026-04-06",0,0,"0"
"AfD Gera Jena SHK",8465,"2026-04-13",8474,"2026-04-06",-9,-0.11,"-9"
"AfD Kreistagsfraktion Ahrweiler",6004,"2026-04-13",6010,"2026-04-06",-6,-0.1,"-6"
"AfD Kreisverband Ahrweiler",5509,"2026-04-13",5455,"2026-04-06",54,0.99,"+54"
"AfD Alzey-Worms",4660,"2026-04-13",4655,"2026-04-06",5,0.11,"+5"
"AfD Kreistagsfraktion Alzey-Worms",3187,"2026-04-13",3190,"2026-04-06",-3,-0.09,"-3"
"AfD Kreisverband Bad Dürkheim",6370,"2026-04-13",6357,"2026-04-06",13,0.2,"+13"
"AfD-Fraktion im Kreistag Bad Dürkheim",6689,"2026-04-13",6699,"2026-04-06",-10,-0.15,"-10"
"AfD Kreisverband Bad Kreuznach",4012,"2026-04-13",3902,"2026-04-06",110,2.82,"+110"
"AfD-Fraktion Stadtrat Bad Kreuznach",5832,"2026-04-13",5843,"2026-04-06",-11,-0.19,"-11"
"AfD Bernkastel-Wittlich",8994,"2026-04-13",9002,"2026-04-06",-8,-0.09,"-8"
