"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1358,"2026-02-16",1360,"2026-02-09",-2,-0.15,"-2"
"AfD-Fraktion Bautzen",5557,"2026-02-16",5559,"2026-02-09",-2,-0.04,"-2"
"AfD Görlitz",5625,"2026-02-16",5631,"2026-02-09",-6,-0.11,"-6"
"AfD-Fraktion im Kreistag Görlitz",5932,"2026-02-16",5934,"2026-02-09",-2,-0.03,"-2"
"AfD für den Landkreis Görlitz",6122,"2026-02-16",6125,"2026-02-09",-3,-0.05,"-3"
"AfD SOE",5768,"2026-02-16",5774,"2026-02-09",-6,-0.1,"-6"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5768,"2026-02-16",5774,"2026-02-09",-6,-0.1,"-6"
"AfD-Regionalgruppe Sächsische Schweiz",1716,"2026-02-16",1717,"2026-02-09",-1,-0.06,"-1"
"AfD-Fraktion Dresden",8260,"2026-02-16",8254,"2026-02-09",6,0.07,"+6"
"AfD Dresden",8929,"2026-02-16",8934,"2026-02-09",-5,-0.06,"-5"
"AfD Meißen",17948,"2026-02-16",17959,"2026-02-09",-11,-0.06,"-11"
"AfD-Fraktion im Kreistag Meißen",5376,"2026-02-16",5380,"2026-02-09",-4,-0.07,"-4"
"AfD Stadtratsfraktion Meißen",3645,"2026-02-16",3643,"2026-02-09",2,0.05,"+2"
"AfD-Freundeskreis Meißen",1380,"2026-02-16",1382,"2026-02-09",-2,-0.14,"-2"
"AfD Mittelsachsen",3694,"2026-02-16",3672,"2026-02-09",22,0.6,"+22"
"AfD Kreisverband Nordsachsen",2978,"2026-02-16",2977,"2026-02-09",1,0.03,"+1"
"AfD-Fraktion Leipzig",9160,"2026-02-16",9147,"2026-02-09",13,0.14,"+13"
"AfD Leipzig",8301,"2026-02-16",8304,"2026-02-09",-3,-0.04,"-3"
"AfD-Kreisverband Landkreis Leipzig",7791,"2026-02-16",7795,"2026-02-09",-4,-0.05,"-4"
"AfD Zwickau",14157,"2026-02-16",14150,"2026-02-09",7,0.05,"+7"
"AfD - Stadtratsfraktion Chemnitz",4857,"2026-02-16",4863,"2026-02-09",-6,-0.12,"-6"
"AfD Kreisverband Chemnitz",19254,"2026-02-16",19269,"2026-02-09",-15,-0.08,"-15"
"AfD Erzgebirge",8790,"2026-02-16",8789,"2026-02-09",1,0.01,"+1"
"AfD Vogtland",4541,"2026-02-16",4543,"2026-02-09",-2,-0.04,"-2"
"AfD Kreisverband Eichsfeld",5597,"2026-02-16",5529,"2026-02-09",68,1.23,"+68"
"AfD Erfurt",8461,"2026-02-16",8440,"2026-02-09",21,0.25,"+21"
"AfD Gera",9073,"2026-02-16",9040,"2026-02-09",33,0.37,"+33"
"AfD-Fraktion im Geraer Stadtrat",463,"2026-02-16",464,"2026-02-09",-1,-0.22,"-1"
"AfD Gera Jena SHK",8542,"2026-02-16",8547,"2026-02-09",-5,-0.06,"-5"
"AfD Kreistagsfraktion Ahrweiler",6046,"2026-02-16",6046,"2026-02-09",0,0,"0"
"AfD Kreisverband Ahrweiler",5368,"2026-02-16",5366,"2026-02-09",2,0.04,"+2"
"AfD Alzey-Worms",4382,"2026-02-16",NA,"2026-02-09",4382,100,"0"
"AfD Kreistagsfraktion Alzey-Worms",3182,"2026-02-16",3182,"2026-02-09",0,0,"0"
"AfD Kreisverband Bad Dürkheim",6338,"2026-02-16",6343,"2026-02-09",-5,-0.08,"-5"
"AfD-Fraktion im Kreistag Bad Dürkheim",6740,"2026-02-16",6741,"2026-02-09",-1,-0.01,"-1"
"AfD Kreisverband Bad Kreuznach",3635,"2026-02-16",3631,"2026-02-09",4,0.11,"+4"
"AfD-Fraktion Stadtrat Bad Kreuznach",5864,"2026-02-16",5865,"2026-02-09",-1,-0.02,"-1"
"AfD Bernkastel-Wittlich",8982,"2026-02-16",8954,"2026-02-09",28,0.31,"+28"
