"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1745,"2026-07-06",1746,"2026-06-29",-1,-0.06,"-1"
"AfD-Fraktion Bautzen",5511,"2026-07-06",5515,"2026-06-29",-4,-0.07,"-4"
"AfD Görlitz",5673,"2026-07-06",5678,"2026-06-29",-5,-0.09,"-5"
"AfD-Fraktion im Kreistag Görlitz",5890,"2026-07-06",5897,"2026-06-29",-7,-0.12,"-7"
"AfD für den Landkreis Görlitz",6026,"2026-07-06",6032,"2026-06-29",-6,-0.1,"-6"
"AfD SOE",6006,"2026-07-06",6014,"2026-06-29",-8,-0.13,"-8"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6006,"2026-07-06",6014,"2026-06-29",-8,-0.13,"-8"
"AfD-Regionalgruppe Sächsische Schweiz",1991,"2026-07-06",1953,"2026-06-29",38,1.95,"+38"
"AfD-Fraktion Dresden",8524,"2026-07-06",8526,"2026-06-29",-2,-0.02,"-2"
"AfD Dresden",8997,"2026-07-06",8999,"2026-06-29",-2,-0.02,"-2"
"AfD Meißen",18332,"2026-07-06",18339,"2026-06-29",-7,-0.04,"-7"
"AfD-Fraktion im Kreistag Meißen",5387,"2026-07-06",5393,"2026-06-29",-6,-0.11,"-6"
"AfD Stadtratsfraktion Meißen",3915,"2026-07-06",3909,"2026-06-29",6,0.15,"+6"
"AfD-Freundeskreis Meißen",1372,"2026-07-06",1371,"2026-06-29",1,0.07,"+1"
"AfD Mittelsachsen",3747,"2026-07-06",3748,"2026-06-29",-1,-0.03,"-1"
"AfD Kreisverband Nordsachsen",3403,"2026-07-06",3406,"2026-06-29",-3,-0.09,"-3"
"AfD-Fraktion Leipzig",9315,"2026-07-06",9281,"2026-06-29",34,0.37,"+34"
"AfD Leipzig",8357,"2026-07-06",8359,"2026-06-29",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",7865,"2026-07-06",7856,"2026-06-29",9,0.11,"+9"
"AfD Zwickau",14277,"2026-07-06",14265,"2026-06-29",12,0.08,"+12"
"AfD - Stadtratsfraktion Chemnitz",5082,"2026-07-06",5049,"2026-06-29",33,0.65,"+33"
"AfD Kreisverband Chemnitz",19410,"2026-07-06",19425,"2026-06-29",-15,-0.08,"-15"
"AfD Erzgebirge",9218,"2026-07-06",9226,"2026-06-29",-8,-0.09,"-8"
"AfD Vogtland",4809,"2026-07-06",4813,"2026-06-29",-4,-0.08,"-4"
"AfD Kreisverband Eichsfeld",5913,"2026-07-06",5916,"2026-06-29",-3,-0.05,"-3"
"AfD Erfurt",9547,"2026-07-06",9173,"2026-06-29",374,4.08,"+374"
"AfD Gera",9463,"2026-07-06",9450,"2026-06-29",13,0.14,"+13"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-07-06",NA,"2026-06-29",464,100,"0"
"AfD Gera Jena SHK",8408,"2026-07-06",8412,"2026-06-29",-4,-0.05,"-4"
"AfD Kreistagsfraktion Ahrweiler",5966,"2026-07-06",5968,"2026-06-29",-2,-0.03,"-2"
"AfD Kreisverband Ahrweiler",5879,"2026-07-06",5881,"2026-06-29",-2,-0.03,"-2"
"AfD Alzey-Worms",4759,"2026-07-06",4724,"2026-06-29",35,0.74,"+35"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-07-06",3177,"2026-06-29",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",NA,"2026-07-06",6388,"2026-06-29",NA,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6637,"2026-07-06",6642,"2026-06-29",-5,-0.08,"-5"
"AfD Kreisverband Bad Kreuznach",4320,"2026-07-06",4320,"2026-06-29",0,0,"0"
"AfD-Fraktion Stadtrat Bad Kreuznach",5776,"2026-07-06",5780,"2026-06-29",-4,-0.07,"-4"
"AfD Bernkastel-Wittlich",9239,"2026-07-06",9203,"2026-06-29",36,0.39,"+36"
