"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1355,"2026-03-02",1358,"2026-02-23",-3,-0.22,"-3"
"AfD-Fraktion Bautzen",5547,"2026-03-02",5552,"2026-02-23",-5,-0.09,"-5"
"AfD Görlitz",5619,"2026-03-02",5623,"2026-02-23",-4,-0.07,"-4"
"AfD-Fraktion im Kreistag Görlitz",5921,"2026-03-02",5923,"2026-02-23",-2,-0.03,"-2"
"AfD für den Landkreis Görlitz",6108,"2026-03-02",6114,"2026-02-23",-6,-0.1,"-6"
"AfD SOE",5762,"2026-03-02",NA,"2026-02-23",5762,100,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5762,"2026-03-02",5764,"2026-02-23",-2,-0.03,"-2"
"AfD-Regionalgruppe Sächsische Schweiz",1713,"2026-03-02",1713,"2026-02-23",0,0,"0"
"AfD-Fraktion Dresden",8259,"2026-03-02",8259,"2026-02-23",0,0,"0"
"AfD Dresden",8916,"2026-03-02",8920,"2026-02-23",-4,-0.04,"-4"
"AfD Meißen",17931,"2026-03-02",17938,"2026-02-23",-7,-0.04,"-7"
"AfD-Fraktion im Kreistag Meißen",5366,"2026-03-02",5369,"2026-02-23",-3,-0.06,"-3"
"AfD Stadtratsfraktion Meißen",3705,"2026-03-02",3686,"2026-02-23",19,0.52,"+19"
"AfD-Freundeskreis Meißen",1376,"2026-03-02",1377,"2026-02-23",-1,-0.07,"-1"
"AfD Mittelsachsen",3690,"2026-03-02",3694,"2026-02-23",-4,-0.11,"-4"
"AfD Kreisverband Nordsachsen",2987,"2026-03-02",2983,"2026-02-23",4,0.13,"+4"
"AfD-Fraktion Leipzig",9196,"2026-03-02",9168,"2026-02-23",28,0.31,"+28"
"AfD Leipzig",8293,"2026-03-02",8296,"2026-02-23",-3,-0.04,"-3"
"AfD-Kreisverband Landkreis Leipzig",7787,"2026-03-02",7791,"2026-02-23",-4,-0.05,"-4"
"AfD Zwickau",NA,"2026-03-02",14161,"2026-02-23",NA,100,"0"
"AfD - Stadtratsfraktion Chemnitz",4858,"2026-03-02",4859,"2026-02-23",-1,-0.02,"-1"
"AfD Kreisverband Chemnitz",19227,"2026-03-02",19238,"2026-02-23",-11,-0.06,"-11"
"AfD Erzgebirge",8774,"2026-03-02",8779,"2026-02-23",-5,-0.06,"-5"
"AfD Vogtland",4537,"2026-03-02",4539,"2026-02-23",-2,-0.04,"-2"
"AfD Kreisverband Eichsfeld",5610,"2026-03-02",5601,"2026-02-23",9,0.16,"+9"
"AfD Erfurt",NA,"2026-03-02",8465,"2026-02-23",NA,100,"0"
"AfD Gera",9127,"2026-03-02",9094,"2026-02-23",33,0.36,"+33"
"AfD-Fraktion im Geraer Stadtrat",NA,"2026-03-02",463,"2026-02-23",NA,100,"0"
"AfD Gera Jena SHK",8517,"2026-03-02",8525,"2026-02-23",-8,-0.09,"-8"
"AfD Kreistagsfraktion Ahrweiler",6032,"2026-03-02",6036,"2026-02-23",-4,-0.07,"-4"
"AfD Kreisverband Ahrweiler",5377,"2026-03-02",5372,"2026-02-23",5,0.09,"+5"
"AfD Alzey-Worms",4465,"2026-03-02",4435,"2026-02-23",30,0.68,"+30"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-03-02",3180,"2026-02-23",-4,-0.13,"-4"
"AfD Kreisverband Bad Dürkheim",6333,"2026-03-02",NA,"2026-02-23",6333,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6725,"2026-03-02",NA,"2026-02-23",6725,100,"0"
"AfD Kreisverband Bad Kreuznach",3695,"2026-03-02",3643,"2026-02-23",52,1.43,"+52"
"AfD-Fraktion Stadtrat Bad Kreuznach",5850,"2026-03-02",5857,"2026-02-23",-7,-0.12,"-7"
"AfD Bernkastel-Wittlich",9019,"2026-03-02",9000,"2026-02-23",19,0.21,"+19"
