"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1744,"2026-08-10",1741,"2026-08-03",3,0.17,"+3"
"AfD-Fraktion Bautzen",5497,"2026-08-10",5497,"2026-08-03",0,0,"0"
"AfD Görlitz",5667,"2026-08-10",5662,"2026-08-03",5,0.09,"+5"
"AfD-Fraktion im Kreistag Görlitz",5878,"2026-08-10",5880,"2026-08-03",-2,-0.03,"-2"
"AfD für den Landkreis Görlitz",6012,"2026-08-10",6017,"2026-08-03",-5,-0.08,"-5"
"AfD SOE",5993,"2026-08-10",5994,"2026-08-03",-1,-0.02,"-1"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5993,"2026-08-10",5994,"2026-08-03",-1,-0.02,"-1"
"AfD-Regionalgruppe Sächsische Schweiz",2032,"2026-08-10",2015,"2026-08-03",17,0.84,"+17"
"AfD-Fraktion Dresden",8536,"2026-08-10",8537,"2026-08-03",-1,-0.01,"-1"
"AfD Dresden",9031,"2026-08-10",9031,"2026-08-03",0,0,"0"
"AfD Meißen",18305,"2026-08-10",18312,"2026-08-03",-7,-0.04,"-7"
"AfD-Fraktion im Kreistag Meißen",5374,"2026-08-10",5376,"2026-08-03",-2,-0.04,"-2"
"AfD Stadtratsfraktion Meißen",3912,"2026-08-10",3918,"2026-08-03",-6,-0.15,"-6"
"AfD-Freundeskreis Meißen",1370,"2026-08-10",1370,"2026-08-03",0,0,"0"
"AfD Mittelsachsen",3747,"2026-08-10",3746,"2026-08-03",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",3399,"2026-08-10",3401,"2026-08-03",-2,-0.06,"-2"
"AfD-Fraktion Leipzig",9380,"2026-08-10",9381,"2026-08-03",-1,-0.01,"-1"
"AfD Leipzig",8343,"2026-08-10",8344,"2026-08-03",-1,-0.01,"-1"
"AfD-Kreisverband Landkreis Leipzig",7845,"2026-08-10",NA,"2026-08-03",7845,100,"0"
"AfD Zwickau",14270,"2026-08-10",14274,"2026-08-03",-4,-0.03,"-4"
"AfD - Stadtratsfraktion Chemnitz",5129,"2026-08-10",5113,"2026-08-03",16,0.31,"+16"
"AfD Kreisverband Chemnitz",19423,"2026-08-10",19439,"2026-08-03",-16,-0.08,"-16"
"AfD Erzgebirge",9225,"2026-08-10",9224,"2026-08-03",1,0.01,"+1"
"AfD Vogtland",4810,"2026-08-10",4805,"2026-08-03",5,0.1,"+5"
"AfD Kreisverband Eichsfeld",5920,"2026-08-10",5920,"2026-08-03",0,0,"0"
"AfD Erfurt",9988,"2026-08-10",9913,"2026-08-03",75,0.76,"+75"
"AfD Gera",9534,"2026-08-10",9547,"2026-08-03",-13,-0.14,"-13"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-08-10",465,"2026-08-03",0,0,"0"
"AfD Gera Jena SHK",8386,"2026-08-10",8390,"2026-08-03",-4,-0.05,"-4"
"AfD Kreistagsfraktion Ahrweiler",5956,"2026-08-10",5957,"2026-08-03",-1,-0.02,"-1"
"AfD Kreisverband Ahrweiler",5886,"2026-08-10",5878,"2026-08-03",8,0.14,"+8"
"AfD Alzey-Worms",4834,"2026-08-10",4833,"2026-08-03",1,0.02,"+1"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-08-10",3174,"2026-08-03",0,0,"0"
"AfD Kreisverband Bad Dürkheim",6371,"2026-08-10",6377,"2026-08-03",-6,-0.09,"-6"
"AfD-Fraktion im Kreistag Bad Dürkheim",6619,"2026-08-10",6624,"2026-08-03",-5,-0.08,"-5"
"AfD Kreisverband Bad Kreuznach",4515,"2026-08-10",4507,"2026-08-03",8,0.18,"+8"
"AfD-Fraktion Stadtrat Bad Kreuznach",5755,"2026-08-10",5756,"2026-08-03",-1,-0.02,"-1"
"AfD Bernkastel-Wittlich",9837,"2026-08-10",9535,"2026-08-03",302,3.17,"+302"
