"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1507,"2026-05-04",1503,"2026-05-02",4,0.27,"+4"
"AfD-Fraktion Bautzen",5540,"2026-05-04",5543,"2026-05-02",-3,-0.05,"-3"
"AfD Görlitz",5623,"2026-05-04",5623,"2026-05-02",0,0,"0"
"AfD-Fraktion im Kreistag Görlitz",5919,"2026-05-04",5922,"2026-05-02",-3,-0.05,"-3"
"AfD für den Landkreis Görlitz",6059,"2026-05-04",6062,"2026-05-02",-3,-0.05,"-3"
"AfD SOE",5911,"2026-05-04",5911,"2026-05-02",0,0,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5911,"2026-05-04",5911,"2026-05-02",0,0,"0"
"AfD-Regionalgruppe Sächsische Schweiz",1876,"2026-05-04",1875,"2026-05-02",1,0.05,"+1"
"AfD-Fraktion Dresden",8412,"2026-05-04",8412,"2026-05-02",0,0,"0"
"AfD Dresden",8971,"2026-05-04",8963,"2026-05-02",8,0.09,"+8"
"AfD Meißen",18220,"2026-05-04",18209,"2026-05-02",11,0.06,"+11"
"AfD-Fraktion im Kreistag Meißen",5362,"2026-05-04",5360,"2026-05-02",2,0.04,"+2"
"AfD Stadtratsfraktion Meißen",3886,"2026-05-04",NA,"2026-05-02",3886,100,"0"
"AfD-Freundeskreis Meißen",1377,"2026-05-04",1376,"2026-05-02",1,0.07,"+1"
"AfD Mittelsachsen",3682,"2026-05-04",3683,"2026-05-02",-1,-0.03,"-1"
"AfD Kreisverband Nordsachsen",3278,"2026-05-04",3254,"2026-05-02",24,0.74,"+24"
"AfD-Fraktion Leipzig",9258,"2026-05-04",9257,"2026-05-02",1,0.01,"+1"
"AfD Leipzig",8272,"2026-05-04",8273,"2026-05-02",-1,-0.01,"-1"
"AfD-Kreisverband Landkreis Leipzig",7793,"2026-05-04",7790,"2026-05-02",3,0.04,"+3"
"AfD Zwickau",14249,"2026-05-04",14251,"2026-05-02",-2,-0.01,"-2"
"AfD - Stadtratsfraktion Chemnitz",4912,"2026-05-04",4912,"2026-05-02",0,0,"0"
"AfD Kreisverband Chemnitz",19232,"2026-05-04",19234,"2026-05-02",-2,-0.01,"-2"
"AfD Erzgebirge",9106,"2026-05-04",9099,"2026-05-02",7,0.08,"+7"
"AfD Vogtland",4702,"2026-05-04",4700,"2026-05-02",2,0.04,"+2"
"AfD Kreisverband Eichsfeld",5855,"2026-05-04",5855,"2026-05-02",0,0,"0"
"AfD Erfurt",8791,"2026-05-04",8792,"2026-05-02",-1,-0.01,"-1"
"AfD Gera",9332,"2026-05-04",9337,"2026-05-02",-5,-0.05,"-5"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-05-04",465,"2026-05-02",0,0,"0"
"AfD Gera Jena SHK",8446,"2026-05-04",8449,"2026-05-02",-3,-0.04,"-3"
"AfD Kreistagsfraktion Ahrweiler",5986,"2026-05-04",5987,"2026-05-02",-1,-0.02,"-1"
"AfD Kreisverband Ahrweiler",5681,"2026-05-04",5666,"2026-05-02",15,0.26,"+15"
"AfD Alzey-Worms",4661,"2026-05-04",4657,"2026-05-02",4,0.09,"+4"
"AfD Kreistagsfraktion Alzey-Worms",3179,"2026-05-04",3180,"2026-05-02",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",6389,"2026-05-04",6390,"2026-05-02",-1,-0.02,"-1"
"AfD-Fraktion im Kreistag Bad Dürkheim",6668,"2026-05-04",6670,"2026-05-02",-2,-0.03,"-2"
"AfD Kreisverband Bad Kreuznach",4177,"2026-05-04",4166,"2026-05-02",11,0.26,"+11"
"AfD-Fraktion Stadtrat Bad Kreuznach",5816,"2026-05-04",5818,"2026-05-02",-2,-0.03,"-2"
"AfD Bernkastel-Wittlich",8978,"2026-05-04",8981,"2026-05-02",-3,-0.03,"-3"
