"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1741,"2026-08-03",1741,"2026-07-27",0,0,"0"
"AfD-Fraktion Bautzen",5497,"2026-08-03",5501,"2026-07-27",-4,-0.07,"-4"
"AfD Görlitz",5662,"2026-08-03",5664,"2026-07-27",-2,-0.04,"-2"
"AfD-Fraktion im Kreistag Görlitz",5880,"2026-08-03",5883,"2026-07-27",-3,-0.05,"-3"
"AfD für den Landkreis Görlitz",6017,"2026-08-03",6020,"2026-07-27",-3,-0.05,"-3"
"AfD SOE",5994,"2026-08-03",5997,"2026-07-27",-3,-0.05,"-3"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5994,"2026-08-03",5997,"2026-07-27",-3,-0.05,"-3"
"AfD-Regionalgruppe Sächsische Schweiz",2015,"2026-08-03",2006,"2026-07-27",9,0.45,"+9"
"AfD-Fraktion Dresden",8537,"2026-08-03",8532,"2026-07-27",5,0.06,"+5"
"AfD Dresden",9031,"2026-08-03",9037,"2026-07-27",-6,-0.07,"-6"
"AfD Meißen",18312,"2026-08-03",18317,"2026-07-27",-5,-0.03,"-5"
"AfD-Fraktion im Kreistag Meißen",5376,"2026-08-03",NA,"2026-07-27",5376,100,"0"
"AfD Stadtratsfraktion Meißen",3918,"2026-08-03",3922,"2026-07-27",-4,-0.1,"-4"
"AfD-Freundeskreis Meißen",1370,"2026-08-03",1372,"2026-07-27",-2,-0.15,"-2"
"AfD Mittelsachsen",3746,"2026-08-03",3746,"2026-07-27",0,0,"0"
"AfD Kreisverband Nordsachsen",3401,"2026-08-03",3401,"2026-07-27",0,0,"0"
"AfD-Fraktion Leipzig",9381,"2026-08-03",9366,"2026-07-27",15,0.16,"+15"
"AfD Leipzig",8344,"2026-08-03",8346,"2026-07-27",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",NA,"2026-08-03",7861,"2026-07-27",NA,100,"0"
"AfD Zwickau",14274,"2026-08-03",14282,"2026-07-27",-8,-0.06,"-8"
"AfD - Stadtratsfraktion Chemnitz",5113,"2026-08-03",5104,"2026-07-27",9,0.18,"+9"
"AfD Kreisverband Chemnitz",19439,"2026-08-03",19446,"2026-07-27",-7,-0.04,"-7"
"AfD Erzgebirge",9224,"2026-08-03",9210,"2026-07-27",14,0.15,"+14"
"AfD Vogtland",4805,"2026-08-03",4804,"2026-07-27",1,0.02,"+1"
"AfD Kreisverband Eichsfeld",5920,"2026-08-03",5924,"2026-07-27",-4,-0.07,"-4"
"AfD Erfurt",9913,"2026-08-03",9892,"2026-07-27",21,0.21,"+21"
"AfD Gera",9547,"2026-08-03",9526,"2026-07-27",21,0.22,"+21"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-08-03",465,"2026-07-27",0,0,"0"
"AfD Gera Jena SHK",8390,"2026-08-03",8396,"2026-07-27",-6,-0.07,"-6"
"AfD Kreistagsfraktion Ahrweiler",5957,"2026-08-03",5960,"2026-07-27",-3,-0.05,"-3"
"AfD Kreisverband Ahrweiler",5878,"2026-08-03",5874,"2026-07-27",4,0.07,"+4"
"AfD Alzey-Worms",4833,"2026-08-03",4836,"2026-07-27",-3,-0.06,"-3"
"AfD Kreistagsfraktion Alzey-Worms",3174,"2026-08-03",3173,"2026-07-27",1,0.03,"+1"
"AfD Kreisverband Bad Dürkheim",6377,"2026-08-03",6379,"2026-07-27",-2,-0.03,"-2"
"AfD-Fraktion im Kreistag Bad Dürkheim",6624,"2026-08-03",6628,"2026-07-27",-4,-0.06,"-4"
"AfD Kreisverband Bad Kreuznach",4507,"2026-08-03",4381,"2026-07-27",126,2.88,"+126"
"AfD-Fraktion Stadtrat Bad Kreuznach",5756,"2026-08-03",5763,"2026-07-27",-7,-0.12,"-7"
"AfD Bernkastel-Wittlich",9535,"2026-08-03",9521,"2026-07-27",14,0.15,"+14"
