"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1741,"2026-06-15",1736,"2026-06-08",5,0.29,"+5"
"AfD-Fraktion Bautzen",5522,"2026-06-15",5524,"2026-06-08",-2,-0.04,"-2"
"AfD Görlitz",5680,"2026-06-15",5682,"2026-06-08",-2,-0.04,"-2"
"AfD-Fraktion im Kreistag Görlitz",5902,"2026-06-15",5905,"2026-06-08",-3,-0.05,"-3"
"AfD für den Landkreis Görlitz",6040,"2026-06-15",6041,"2026-06-08",-1,-0.02,"-1"
"AfD SOE",6025,"2026-06-15",6020,"2026-06-08",5,0.08,"+5"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6025,"2026-06-15",6020,"2026-06-08",5,0.08,"+5"
"AfD-Regionalgruppe Sächsische Schweiz",1910,"2026-06-15",1897,"2026-06-08",13,0.69,"+13"
"AfD-Fraktion Dresden",8483,"2026-06-15",8472,"2026-06-08",11,0.13,"+11"
"AfD Dresden",9010,"2026-06-15",9011,"2026-06-08",-1,-0.01,"-1"
"AfD Meißen",18359,"2026-06-15",18360,"2026-06-08",-1,-0.01,"-1"
"AfD-Fraktion im Kreistag Meißen",5402,"2026-06-15",5405,"2026-06-08",-3,-0.06,"-3"
"AfD Stadtratsfraktion Meißen",3905,"2026-06-15",3907,"2026-06-08",-2,-0.05,"-2"
"AfD-Freundeskreis Meißen",1373,"2026-06-15",1373,"2026-06-08",0,0,"0"
"AfD Mittelsachsen",3750,"2026-06-15",3723,"2026-06-08",27,0.73,"+27"
"AfD Kreisverband Nordsachsen",3409,"2026-06-15",3408,"2026-06-08",1,0.03,"+1"
"AfD-Fraktion Leipzig",9270,"2026-06-15",9266,"2026-06-08",4,0.04,"+4"
"AfD Leipzig",8366,"2026-06-15",8368,"2026-06-08",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",7850,"2026-06-15",7799,"2026-06-08",51,0.65,"+51"
"AfD Zwickau",14251,"2026-06-15",14255,"2026-06-08",-4,-0.03,"-4"
"AfD - Stadtratsfraktion Chemnitz",4984,"2026-06-15",4959,"2026-06-08",25,0.5,"+25"
"AfD Kreisverband Chemnitz",19438,"2026-06-15",19425,"2026-06-08",13,0.07,"+13"
"AfD Erzgebirge",9227,"2026-06-15",9207,"2026-06-08",20,0.22,"+20"
"AfD Vogtland",4808,"2026-06-15",4792,"2026-06-08",16,0.33,"+16"
"AfD Kreisverband Eichsfeld",5928,"2026-06-15",5932,"2026-06-08",-4,-0.07,"-4"
"AfD Erfurt",9065,"2026-06-15",8990,"2026-06-08",75,0.83,"+75"
"AfD Gera",9406,"2026-06-15",9390,"2026-06-08",16,0.17,"+16"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-06-15",464,"2026-06-08",0,0,"0"
"AfD Gera Jena SHK",8425,"2026-06-15",8427,"2026-06-08",-2,-0.02,"-2"
"AfD Kreistagsfraktion Ahrweiler",5974,"2026-06-15",5977,"2026-06-08",-3,-0.05,"-3"
"AfD Kreisverband Ahrweiler",5896,"2026-06-15",5889,"2026-06-08",7,0.12,"+7"
"AfD Alzey-Worms",4722,"2026-06-15",4718,"2026-06-08",4,0.08,"+4"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-06-15",3178,"2026-06-08",-2,-0.06,"-2"
"AfD Kreisverband Bad Dürkheim",6395,"2026-06-15",NA,"2026-06-08",6395,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6645,"2026-06-15",6647,"2026-06-08",-2,-0.03,"-2"
"AfD Kreisverband Bad Kreuznach",4327,"2026-06-15",4320,"2026-06-08",7,0.16,"+7"
"AfD-Fraktion Stadtrat Bad Kreuznach",5792,"2026-06-15",5792,"2026-06-08",0,0,"0"
"AfD Bernkastel-Wittlich",8989,"2026-06-15",8975,"2026-06-08",14,0.16,"+14"
