"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1744,"2026-07-20",1744,"2026-07-13",0,0,"0"
"AfD-Fraktion Bautzen",5504,"2026-07-20",5506,"2026-07-13",-2,-0.04,"-2"
"AfD Görlitz",5667,"2026-07-20",5669,"2026-07-13",-2,-0.04,"-2"
"AfD-Fraktion im Kreistag Görlitz",5884,"2026-07-20",5886,"2026-07-13",-2,-0.03,"-2"
"AfD für den Landkreis Görlitz",6022,"2026-07-20",6025,"2026-07-13",-3,-0.05,"-3"
"AfD SOE",5999,"2026-07-20",6002,"2026-07-13",-3,-0.05,"-3"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5999,"2026-07-20",6002,"2026-07-13",-3,-0.05,"-3"
"AfD-Regionalgruppe Sächsische Schweiz",2001,"2026-07-20",2000,"2026-07-13",1,0.05,"+1"
"AfD-Fraktion Dresden",8521,"2026-07-20",8521,"2026-07-13",0,0,"0"
"AfD Dresden",8992,"2026-07-20",8995,"2026-07-13",-3,-0.03,"-3"
"AfD Meißen",18328,"2026-07-20",18333,"2026-07-13",-5,-0.03,"-5"
"AfD-Fraktion im Kreistag Meißen",5382,"2026-07-20",5385,"2026-07-13",-3,-0.06,"-3"
"AfD Stadtratsfraktion Meißen",3921,"2026-07-20",3919,"2026-07-13",2,0.05,"+2"
"AfD-Freundeskreis Meißen",1372,"2026-07-20",1372,"2026-07-13",0,0,"0"
"AfD Mittelsachsen",3748,"2026-07-20",3748,"2026-07-13",0,0,"0"
"AfD Kreisverband Nordsachsen",3406,"2026-07-20",3405,"2026-07-13",1,0.03,"+1"
"AfD-Fraktion Leipzig",9356,"2026-07-20",9338,"2026-07-13",18,0.19,"+18"
"AfD Leipzig",8348,"2026-07-20",8355,"2026-07-13",-7,-0.08,"-7"
"AfD-Kreisverband Landkreis Leipzig",7859,"2026-07-20",7862,"2026-07-13",-3,-0.04,"-3"
"AfD Zwickau",14287,"2026-07-20",14284,"2026-07-13",3,0.02,"+3"
"AfD - Stadtratsfraktion Chemnitz",5101,"2026-07-20",5102,"2026-07-13",-1,-0.02,"-1"
"AfD Kreisverband Chemnitz",19460,"2026-07-20",19472,"2026-07-13",-12,-0.06,"-12"
"AfD Erzgebirge",9217,"2026-07-20",NA,"2026-07-13",9217,100,"0"
"AfD Vogtland",4805,"2026-07-20",4808,"2026-07-13",-3,-0.06,"-3"
"AfD Kreisverband Eichsfeld",5928,"2026-07-20",5922,"2026-07-13",6,0.1,"+6"
"AfD Erfurt",9616,"2026-07-20",9570,"2026-07-13",46,0.48,"+46"
"AfD Gera",9506,"2026-07-20",9488,"2026-07-13",18,0.19,"+18"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-07-20",464,"2026-07-13",0,0,"0"
"AfD Gera Jena SHK",8403,"2026-07-20",8403,"2026-07-13",0,0,"0"
"AfD Kreistagsfraktion Ahrweiler",5962,"2026-07-20",5962,"2026-07-13",0,0,"0"
"AfD Kreisverband Ahrweiler",5876,"2026-07-20",NA,"2026-07-13",5876,100,"0"
"AfD Alzey-Worms",4833,"2026-07-20",4808,"2026-07-13",25,0.52,"+25"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-07-20",3176,"2026-07-13",0,0,"0"
"AfD Kreisverband Bad Dürkheim",6383,"2026-07-20",6384,"2026-07-13",-1,-0.02,"-1"
"AfD-Fraktion im Kreistag Bad Dürkheim",6631,"2026-07-20",6635,"2026-07-13",-4,-0.06,"-4"
"AfD Kreisverband Bad Kreuznach",4344,"2026-07-20",4320,"2026-07-13",24,0.56,"+24"
"AfD-Fraktion Stadtrat Bad Kreuznach",5770,"2026-07-20",5768,"2026-07-13",2,0.03,"+2"
"AfD Bernkastel-Wittlich",9475,"2026-07-20",9340,"2026-07-13",135,1.45,"+135"
