"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1361,"2026-01-22",1358,"2026-02-01",3,0.22,"+3"
"AfD-Fraktion Bautzen",5567,"2026-01-22",5561,"2026-02-01",6,0.11,"+6"
"AfD Görlitz",5641,"2026-01-22",5634,"2026-02-01",7,0.12,"+7"
"AfD-Fraktion im Kreistag Görlitz",5884,"2026-01-22",5939,"2026-02-01",-55,-0.93,"-55"
"AfD für den Landkreis Görlitz",6136,"2026-01-22",6130,"2026-02-01",6,0.1,"+6"
"AfD SOE",5780,"2026-01-22",5780,"2026-02-01",0,0,"0"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5780,"2026-01-22",5780,"2026-02-01",0,0,"0"
"AfD-Regionalgruppe Sächsische Schweiz",1711,"2026-01-22",1714,"2026-02-01",-3,-0.18,"-3"
"AfD-Fraktion Dresden",8252,"2026-01-22",8247,"2026-02-01",5,0.06,"+5"
"AfD Dresden",8942,"2026-01-22",8940,"2026-02-01",2,0.02,"+2"
"AfD Meißen",17970,"2026-01-22",17966,"2026-02-01",4,0.02,"+4"
"AfD-Fraktion im Kreistag Meißen",5389,"2026-01-22",5385,"2026-02-01",4,0.07,"+4"
"AfD Stadtratsfraktion Meißen",3601,"2026-01-22",3645,"2026-02-01",-44,-1.21,"-44"
"AfD-Freundeskreis Meißen",1387,"2026-01-22",1385,"2026-02-01",2,0.14,"+2"
"AfD Mittelsachsen",3677,"2026-01-22",3677,"2026-02-01",0,0,"0"
"AfD Kreisverband Nordsachsen",2978,"2026-01-22",2976,"2026-02-01",2,0.07,"+2"
"AfD-Fraktion Leipzig",9091,"2026-01-22",9116,"2026-02-01",-25,-0.27,"-25"
"AfD Leipzig",8300,"2026-01-22",8302,"2026-02-01",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",7763,"2026-01-22",7795,"2026-02-01",-32,-0.41,"-32"
"AfD Zwickau",14133,"2026-01-22",14158,"2026-02-01",-25,-0.18,"-25"
"AfD - Stadtratsfraktion Chemnitz",4863,"2026-01-22",4857,"2026-02-01",6,0.12,"+6"
"Alternative für Deutschland / AfD - Kreisverband Chemnitz",19250,"2026-01-22",19251,"2026-02-01",-1,-0.01,"-1"
"AfD Erzgebirge",8756,"2026-01-22",8780,"2026-02-01",-24,-0.27,"-24"
"AfD Vogtland",4520,"2026-01-22",4517,"2026-02-01",3,0.07,"+3"
"AfD Kreisverband Eichsfeld",5493,"2026-01-22",5490,"2026-02-01",3,0.05,"+3"
"AfD Erfurt",8342,"2026-01-22",8382,"2026-02-01",-40,-0.48,"-40"
"AfD Gera",8561,"2026-01-22",8877,"2026-02-01",-316,-3.56,"-316"
"AfD-Fraktion im Geraer Stadtrat",462,"2026-01-22",463,"2026-02-01",-1,-0.22,"-1"
"AfD Gera Jena SHK",8570,"2026-01-22",8562,"2026-02-01",8,0.09,"+8"
