"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1364,"2026-03-23",1362,"2026-03-16",2,0.15,"+2"
"AfD-Fraktion Bautzen",5534,"2026-03-23",5534,"2026-03-16",0,0,"0"
"AfD Görlitz",5613,"2026-03-23",5615,"2026-03-16",-2,-0.04,"-2"
"AfD-Fraktion im Kreistag Görlitz",5923,"2026-03-23",5925,"2026-03-16",-2,-0.03,"-2"
"AfD für den Landkreis Görlitz",6090,"2026-03-23",6094,"2026-03-16",-4,-0.07,"-4"
"AfD SOE",5746,"2026-03-23",5750,"2026-03-16",-4,-0.07,"-4"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5746,"2026-03-23",5750,"2026-03-16",-4,-0.07,"-4"
"AfD-Regionalgruppe Sächsische Schweiz",1719,"2026-03-23",1715,"2026-03-16",4,0.23,"+4"
"AfD-Fraktion Dresden",8270,"2026-03-23",8253,"2026-03-16",17,0.21,"+17"
"AfD Dresden",8903,"2026-03-23",8907,"2026-03-16",-4,-0.04,"-4"
"AfD Meißen",17911,"2026-03-23",17912,"2026-03-16",-1,-0.01,"-1"
"AfD-Fraktion im Kreistag Meißen",5349,"2026-03-23",5351,"2026-03-16",-2,-0.04,"-2"
"AfD Stadtratsfraktion Meißen",3858,"2026-03-23",3847,"2026-03-16",11,0.29,"+11"
"AfD-Freundeskreis Meißen",1376,"2026-03-23",1375,"2026-03-16",1,0.07,"+1"
"AfD Mittelsachsen",3688,"2026-03-23",3687,"2026-03-16",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",2981,"2026-03-23",2981,"2026-03-16",0,0,"0"
"AfD-Fraktion Leipzig",9225,"2026-03-23",9212,"2026-03-16",13,0.14,"+13"
"AfD Leipzig",8272,"2026-03-23",8279,"2026-03-16",-7,-0.08,"-7"
"AfD-Kreisverband Landkreis Leipzig",7782,"2026-03-23",7779,"2026-03-16",3,0.04,"+3"
"AfD Zwickau",14227,"2026-03-23",14144,"2026-03-16",83,0.59,"+83"
"AfD - Stadtratsfraktion Chemnitz",4865,"2026-03-23",4860,"2026-03-16",5,0.1,"+5"
"AfD Kreisverband Chemnitz",19197,"2026-03-23",19207,"2026-03-16",-10,-0.05,"-10"
"AfD Erzgebirge",8783,"2026-03-23",8785,"2026-03-16",-2,-0.02,"-2"
"AfD Vogtland",4517,"2026-03-23",4521,"2026-03-16",-4,-0.09,"-4"
"AfD Kreisverband Eichsfeld",NA,"2026-03-23",5605,"2026-03-16",NA,100,"0"
"AfD Erfurt",8683,"2026-03-23",8553,"2026-03-16",130,1.52,"+130"
"AfD Gera",9215,"2026-03-23",9140,"2026-03-16",75,0.82,"+75"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-03-23",463,"2026-03-16",1,0.22,"+1"
"AfD Gera Jena SHK",8485,"2026-03-23",8491,"2026-03-16",-6,-0.07,"-6"
"AfD Kreistagsfraktion Ahrweiler",6017,"2026-03-23",6022,"2026-03-16",-5,-0.08,"-5"
"AfD Kreisverband Ahrweiler",5387,"2026-03-23",5383,"2026-03-16",4,0.07,"+4"
"AfD Alzey-Worms",4612,"2026-03-23",4512,"2026-03-16",100,2.22,"+100"
"AfD Kreistagsfraktion Alzey-Worms",3172,"2026-03-23",3172,"2026-03-16",0,0,"0"
"AfD Kreisverband Bad Dürkheim",6328,"2026-03-23",NA,"2026-03-16",6328,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6705,"2026-03-23",6712,"2026-03-16",-7,-0.1,"-7"
"AfD Kreisverband Bad Kreuznach",3839,"2026-03-23",3821,"2026-03-16",18,0.47,"+18"
"AfD-Fraktion Stadtrat Bad Kreuznach",5844,"2026-03-23",5844,"2026-03-16",0,0,"0"
"AfD Bernkastel-Wittlich",9014,"2026-03-23",9006,"2026-03-16",8,0.09,"+8"
