"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1744,"2026-07-13",1745,"2026-07-06",-1,-0.06,"-1"
"AfD-Fraktion Bautzen",5506,"2026-07-13",5511,"2026-07-06",-5,-0.09,"-5"
"AfD Görlitz",5669,"2026-07-13",5673,"2026-07-06",-4,-0.07,"-4"
"AfD-Fraktion im Kreistag Görlitz",5886,"2026-07-13",5890,"2026-07-06",-4,-0.07,"-4"
"AfD für den Landkreis Görlitz",6025,"2026-07-13",6026,"2026-07-06",-1,-0.02,"-1"
"AfD SOE",6002,"2026-07-13",6006,"2026-07-06",-4,-0.07,"-4"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",6002,"2026-07-13",6006,"2026-07-06",-4,-0.07,"-4"
"AfD-Regionalgruppe Sächsische Schweiz",2000,"2026-07-13",1991,"2026-07-06",9,0.45,"+9"
"AfD-Fraktion Dresden",8521,"2026-07-13",8524,"2026-07-06",-3,-0.04,"-3"
"AfD Dresden",8995,"2026-07-13",8997,"2026-07-06",-2,-0.02,"-2"
"AfD Meißen",18333,"2026-07-13",18332,"2026-07-06",1,0.01,"+1"
"AfD-Fraktion im Kreistag Meißen",5385,"2026-07-13",5387,"2026-07-06",-2,-0.04,"-2"
"AfD Stadtratsfraktion Meißen",3919,"2026-07-13",3915,"2026-07-06",4,0.1,"+4"
"AfD-Freundeskreis Meißen",1372,"2026-07-13",1372,"2026-07-06",0,0,"0"
"AfD Mittelsachsen",3748,"2026-07-13",3747,"2026-07-06",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",3405,"2026-07-13",3403,"2026-07-06",2,0.06,"+2"
"AfD-Fraktion Leipzig",9338,"2026-07-13",9315,"2026-07-06",23,0.25,"+23"
"AfD Leipzig",8355,"2026-07-13",8357,"2026-07-06",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",7862,"2026-07-13",7865,"2026-07-06",-3,-0.04,"-3"
"AfD Zwickau",14284,"2026-07-13",14277,"2026-07-06",7,0.05,"+7"
"AfD - Stadtratsfraktion Chemnitz",5102,"2026-07-13",5082,"2026-07-06",20,0.39,"+20"
"AfD Kreisverband Chemnitz",19472,"2026-07-13",19410,"2026-07-06",62,0.32,"+62"
"AfD Erzgebirge",NA,"2026-07-13",9218,"2026-07-06",NA,100,"0"
"AfD Vogtland",4808,"2026-07-13",4809,"2026-07-06",-1,-0.02,"-1"
"AfD Kreisverband Eichsfeld",5922,"2026-07-13",5913,"2026-07-06",9,0.15,"+9"
"AfD Erfurt",9570,"2026-07-13",9547,"2026-07-06",23,0.24,"+23"
"AfD Gera",9488,"2026-07-13",9463,"2026-07-06",25,0.26,"+25"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-07-13",464,"2026-07-06",0,0,"0"
"AfD Gera Jena SHK",8403,"2026-07-13",8408,"2026-07-06",-5,-0.06,"-5"
"AfD Kreistagsfraktion Ahrweiler",5962,"2026-07-13",5966,"2026-07-06",-4,-0.07,"-4"
"AfD Kreisverband Ahrweiler",NA,"2026-07-13",5879,"2026-07-06",NA,100,"0"
"AfD Alzey-Worms",4808,"2026-07-13",4759,"2026-07-06",49,1.03,"+49"
"AfD Kreistagsfraktion Alzey-Worms",3176,"2026-07-13",3176,"2026-07-06",0,0,"0"
"AfD Kreisverband Bad Dürkheim",6384,"2026-07-13",NA,"2026-07-06",6384,100,"0"
"AfD-Fraktion im Kreistag Bad Dürkheim",6635,"2026-07-13",6637,"2026-07-06",-2,-0.03,"-2"
"AfD Kreisverband Bad Kreuznach",4320,"2026-07-13",4320,"2026-07-06",0,0,"0"
"AfD-Fraktion Stadtrat Bad Kreuznach",5768,"2026-07-13",5776,"2026-07-06",-8,-0.14,"-8"
"AfD Bernkastel-Wittlich",9340,"2026-07-13",9239,"2026-07-06",101,1.09,"+101"
