"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1741,"2026-07-27",1744,"2026-07-20",-3,-0.17,"-3"
"AfD-Fraktion Bautzen",5501,"2026-07-27",5504,"2026-07-20",-3,-0.05,"-3"
"AfD Görlitz",5664,"2026-07-27",5667,"2026-07-20",-3,-0.05,"-3"
"AfD-Fraktion im Kreistag Görlitz",5883,"2026-07-27",5884,"2026-07-20",-1,-0.02,"-1"
"AfD für den Landkreis Görlitz",6020,"2026-07-27",6022,"2026-07-20",-2,-0.03,"-2"
"AfD SOE",5997,"2026-07-27",5999,"2026-07-20",-2,-0.03,"-2"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5997,"2026-07-27",5999,"2026-07-20",-2,-0.03,"-2"
"AfD-Regionalgruppe Sächsische Schweiz",2006,"2026-07-27",2001,"2026-07-20",5,0.25,"+5"
"AfD-Fraktion Dresden",8532,"2026-07-27",8521,"2026-07-20",11,0.13,"+11"
"AfD Dresden",9037,"2026-07-27",8992,"2026-07-20",45,0.5,"+45"
"AfD Meißen",18317,"2026-07-27",18328,"2026-07-20",-11,-0.06,"-11"
"AfD-Fraktion im Kreistag Meißen",NA,"2026-07-27",5382,"2026-07-20",NA,100,"0"
"AfD Stadtratsfraktion Meißen",3922,"2026-07-27",3921,"2026-07-20",1,0.03,"+1"
"AfD-Freundeskreis Meißen",1372,"2026-07-27",1372,"2026-07-20",0,0,"0"
"AfD Mittelsachsen",3746,"2026-07-27",3748,"2026-07-20",-2,-0.05,"-2"
"AfD Kreisverband Nordsachsen",3401,"2026-07-27",3406,"2026-07-20",-5,-0.15,"-5"
"AfD-Fraktion Leipzig",9366,"2026-07-27",9356,"2026-07-20",10,0.11,"+10"
"AfD Leipzig",8346,"2026-07-27",8348,"2026-07-20",-2,-0.02,"-2"
"AfD-Kreisverband Landkreis Leipzig",7861,"2026-07-27",7859,"2026-07-20",2,0.03,"+2"
"AfD Zwickau",14282,"2026-07-27",14287,"2026-07-20",-5,-0.03,"-5"
"AfD - Stadtratsfraktion Chemnitz",5104,"2026-07-27",5101,"2026-07-20",3,0.06,"+3"
"AfD Kreisverband Chemnitz",19446,"2026-07-27",19460,"2026-07-20",-14,-0.07,"-14"
"AfD Erzgebirge",9210,"2026-07-27",9217,"2026-07-20",-7,-0.08,"-7"
"AfD Vogtland",4804,"2026-07-27",4805,"2026-07-20",-1,-0.02,"-1"
"AfD Kreisverband Eichsfeld",5924,"2026-07-27",5928,"2026-07-20",-4,-0.07,"-4"
"AfD Erfurt",9892,"2026-07-27",9616,"2026-07-20",276,2.87,"+276"
"AfD Gera",9526,"2026-07-27",9506,"2026-07-20",20,0.21,"+20"
"AfD-Fraktion im Geraer Stadtrat",465,"2026-07-27",464,"2026-07-20",1,0.22,"+1"
"AfD Gera Jena SHK",8396,"2026-07-27",8403,"2026-07-20",-7,-0.08,"-7"
"AfD Kreistagsfraktion Ahrweiler",5960,"2026-07-27",5962,"2026-07-20",-2,-0.03,"-2"
"AfD Kreisverband Ahrweiler",5874,"2026-07-27",5876,"2026-07-20",-2,-0.03,"-2"
"AfD Alzey-Worms",4836,"2026-07-27",4833,"2026-07-20",3,0.06,"+3"
"AfD Kreistagsfraktion Alzey-Worms",3173,"2026-07-27",3176,"2026-07-20",-3,-0.09,"-3"
"AfD Kreisverband Bad Dürkheim",6379,"2026-07-27",6383,"2026-07-20",-4,-0.06,"-4"
"AfD-Fraktion im Kreistag Bad Dürkheim",6628,"2026-07-27",6631,"2026-07-20",-3,-0.05,"-3"
"AfD Kreisverband Bad Kreuznach",4381,"2026-07-27",4344,"2026-07-20",37,0.85,"+37"
"AfD-Fraktion Stadtrat Bad Kreuznach",5763,"2026-07-27",5770,"2026-07-20",-7,-0.12,"-7"
"AfD Bernkastel-Wittlich",9521,"2026-07-27",9475,"2026-07-20",46,0.49,"+46"
