"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"AFD Kreisverband Bautzen",1487,"2026-04-20",1474,"2026-04-13",13,0.88,"+13"
"AfD-Fraktion Bautzen",5540,"2026-04-20",5540,"2026-04-13",0,0,"0"
"AfD Görlitz",5617,"2026-04-20",5613,"2026-04-13",4,0.07,"+4"
"AfD-Fraktion im Kreistag Görlitz",5931,"2026-04-20",5929,"2026-04-13",2,0.03,"+2"
"AfD für den Landkreis Görlitz",6076,"2026-04-20",6081,"2026-04-13",-5,-0.08,"-5"
"AfD SOE",5885,"2026-04-20",5815,"2026-04-13",70,1.2,"+70"
"Kreistagsfraktion der AfD Sächsische Schweiz-Osterzgebirge",5885,"2026-04-20",5815,"2026-04-13",70,1.2,"+70"
"AfD-Regionalgruppe Sächsische Schweiz",1850,"2026-04-20",1838,"2026-04-13",12,0.65,"+12"
"AfD-Fraktion Dresden",8391,"2026-04-20",8385,"2026-04-13",6,0.07,"+6"
"AfD Dresden",8943,"2026-04-20",8943,"2026-04-13",0,0,"0"
"AfD Meißen",18142,"2026-04-20",18066,"2026-04-13",76,0.42,"+76"
"AfD-Fraktion im Kreistag Meißen",5355,"2026-04-20",5356,"2026-04-13",-1,-0.02,"-1"
"AfD Stadtratsfraktion Meißen",3867,"2026-04-20",3865,"2026-04-13",2,0.05,"+2"
"AfD-Freundeskreis Meißen",1376,"2026-04-20",1377,"2026-04-13",-1,-0.07,"-1"
"AfD Mittelsachsen",3681,"2026-04-20",3680,"2026-04-13",1,0.03,"+1"
"AfD Kreisverband Nordsachsen",3182,"2026-04-20",3152,"2026-04-13",30,0.95,"+30"
"AfD-Fraktion Leipzig",9255,"2026-04-20",9258,"2026-04-13",-3,-0.03,"-3"
"AfD Leipzig",8277,"2026-04-20",8277,"2026-04-13",0,0,"0"
"AfD-Kreisverband Landkreis Leipzig",7792,"2026-04-20",7775,"2026-04-13",17,0.22,"+17"
"AfD Zwickau",14248,"2026-04-20",14225,"2026-04-13",23,0.16,"+23"
"AfD - Stadtratsfraktion Chemnitz",4886,"2026-04-20",4876,"2026-04-13",10,0.21,"+10"
"AfD Kreisverband Chemnitz",19231,"2026-04-20",19237,"2026-04-13",-6,-0.03,"-6"
"AfD Erzgebirge",9027,"2026-04-20",8817,"2026-04-13",210,2.38,"+210"
"AfD Vogtland",4657,"2026-04-20",4649,"2026-04-13",8,0.17,"+8"
"AfD Kreisverband Eichsfeld",5813,"2026-04-20",5799,"2026-04-13",14,0.24,"+14"
"AfD Erfurt",8789,"2026-04-20",8788,"2026-04-13",1,0.01,"+1"
"AfD Gera",9336,"2026-04-20",9324,"2026-04-13",12,0.13,"+12"
"AfD-Fraktion im Geraer Stadtrat",464,"2026-04-20",464,"2026-04-13",0,0,"0"
"AfD Gera Jena SHK",8455,"2026-04-20",8465,"2026-04-13",-10,-0.12,"-10"
"AfD Kreistagsfraktion Ahrweiler",6000,"2026-04-20",6004,"2026-04-13",-4,-0.07,"-4"
"AfD Kreisverband Ahrweiler",5574,"2026-04-20",5509,"2026-04-13",65,1.18,"+65"
"AfD Alzey-Worms",4660,"2026-04-20",4660,"2026-04-13",0,0,"0"
"AfD Kreistagsfraktion Alzey-Worms",3186,"2026-04-20",3187,"2026-04-13",-1,-0.03,"-1"
"AfD Kreisverband Bad Dürkheim",6383,"2026-04-20",6370,"2026-04-13",13,0.2,"+13"
"AfD-Fraktion im Kreistag Bad Dürkheim",NA,"2026-04-20",6689,"2026-04-13",NA,100,"0"
"AfD Kreisverband Bad Kreuznach",4096,"2026-04-20",4012,"2026-04-13",84,2.09,"+84"
"AfD-Fraktion Stadtrat Bad Kreuznach",NA,"2026-04-20",5832,"2026-04-13",NA,100,"0"
"AfD Bernkastel-Wittlich",8996,"2026-04-20",8994,"2026-04-13",2,0.02,"+2"
